,C,epsilon,kernel,degree,coef,accuracy
0,0.01,0.01,linear,0,0,0.7244897959183674
1,0.01,0.01,linear,0,1,0.7244897959183674
2,0.01,0.01,linear,0,2,0.7244897959183674
3,0.01,0.01,linear,0,3,0.7244897959183674
4,0.01,0.01,linear,1,0,0.7244897959183674
5,0.01,0.01,linear,1,1,0.7244897959183674
6,0.01,0.01,linear,1,2,0.7244897959183674
7,0.01,0.01,linear,1,3,0.7244897959183674
8,0.01,0.01,linear,2,0,0.7244897959183674
9,0.01,0.01,linear,2,1,0.7244897959183674
10,0.01,0.01,linear,2,2,0.7244897959183674
11,0.01,0.01,linear,2,3,0.7244897959183674
12,0.01,0.01,linear,3,0,0.7244897959183674
13,0.01,0.01,linear,3,1,0.7244897959183674
14,0.01,0.01,linear,3,2,0.7244897959183674
15,0.01,0.01,linear,3,3,0.7244897959183674
16,0.01,0.01,linear,4,0,0.7244897959183674
17,0.01,0.01,linear,4,1,0.7244897959183674
18,0.01,0.01,linear,4,2,0.7244897959183674
19,0.01,0.01,linear,4,3,0.7244897959183674
20,0.01,0.01,poly,0,0,0.6632653061224489
21,0.01,0.01,poly,0,1,0.6632653061224489
22,0.01,0.01,poly,0,2,0.6632653061224489
23,0.01,0.01,poly,0,3,0.6632653061224489
24,0.01,0.01,poly,1,0,0.6530612244897959
25,0.01,0.01,poly,1,1,0.6530612244897959
26,0.01,0.01,poly,1,2,0.6530612244897959
27,0.01,0.01,poly,1,3,0.6530612244897959
28,0.01,0.01,poly,2,0,0.6632653061224489
29,0.01,0.01,poly,2,1,0.7244897959183674
30,0.01,0.01,poly,2,2,0.7244897959183674
31,0.01,0.01,poly,2,3,0.7244897959183674
32,0.01,0.01,poly,3,0,0.7142857142857143
33,0.01,0.01,poly,3,1,0.7244897959183674
34,0.01,0.01,poly,3,2,0.7244897959183674
35,0.01,0.01,poly,3,3,0.7448979591836735
36,0.01,0.01,poly,4,0,0.7040816326530612
37,0.01,0.01,poly,4,1,0.7244897959183674
38,0.01,0.01,poly,4,2,0.7653061224489796
39,0.01,0.01,poly,4,3,0.7755102040816326
40,0.01,0.01,rbf,0,0,0.6632653061224489
41,0.01,0.01,rbf,0,1,0.6632653061224489
42,0.01,0.01,rbf,0,2,0.6632653061224489
43,0.01,0.01,rbf,0,3,0.6632653061224489
44,0.01,0.01,rbf,1,0,0.6632653061224489
45,0.01,0.01,rbf,1,1,0.6632653061224489
46,0.01,0.01,rbf,1,2,0.6632653061224489
47,0.01,0.01,rbf,1,3,0.6632653061224489
48,0.01,0.01,rbf,2,0,0.6632653061224489
49,0.01,0.01,rbf,2,1,0.6632653061224489
50,0.01,0.01,rbf,2,2,0.6632653061224489
51,0.01,0.01,rbf,2,3,0.6632653061224489
52,0.01,0.01,rbf,3,0,0.6632653061224489
53,0.01,0.01,rbf,3,1,0.6632653061224489
54,0.01,0.01,rbf,3,2,0.6632653061224489
55,0.01,0.01,rbf,3,3,0.6632653061224489
56,0.01,0.01,rbf,4,0,0.6632653061224489
57,0.01,0.01,rbf,4,1,0.6632653061224489
58,0.01,0.01,rbf,4,2,0.6632653061224489
59,0.01,0.01,rbf,4,3,0.6632653061224489
60,0.01,0.01,sigmoid,0,0,0.6632653061224489
61,0.01,0.01,sigmoid,0,1,0.6632653061224489
62,0.01,0.01,sigmoid,0,2,0.6632653061224489
63,0.01,0.01,sigmoid,0,3,0.6632653061224489
64,0.01,0.01,sigmoid,1,0,0.6632653061224489
65,0.01,0.01,sigmoid,1,1,0.6632653061224489
66,0.01,0.01,sigmoid,1,2,0.6632653061224489
67,0.01,0.01,sigmoid,1,3,0.6632653061224489
68,0.01,0.01,sigmoid,2,0,0.6632653061224489
69,0.01,0.01,sigmoid,2,1,0.6632653061224489
70,0.01,0.01,sigmoid,2,2,0.6632653061224489
71,0.01,0.01,sigmoid,2,3,0.6632653061224489
72,0.01,0.01,sigmoid,3,0,0.6632653061224489
73,0.01,0.01,sigmoid,3,1,0.6632653061224489
74,0.01,0.01,sigmoid,3,2,0.6632653061224489
75,0.01,0.01,sigmoid,3,3,0.6632653061224489
76,0.01,0.01,sigmoid,4,0,0.6632653061224489
77,0.01,0.01,sigmoid,4,1,0.6632653061224489
78,0.01,0.01,sigmoid,4,2,0.6632653061224489
79,0.01,0.01,sigmoid,4,3,0.6632653061224489
80,0.01,0.05,linear,0,0,0.7244897959183674
81,0.01,0.05,linear,0,1,0.7244897959183674
82,0.01,0.05,linear,0,2,0.7244897959183674
83,0.01,0.05,linear,0,3,0.7244897959183674
84,0.01,0.05,linear,1,0,0.7244897959183674
85,0.01,0.05,linear,1,1,0.7244897959183674
86,0.01,0.05,linear,1,2,0.7244897959183674
87,0.01,0.05,linear,1,3,0.7244897959183674
88,0.01,0.05,linear,2,0,0.7244897959183674
89,0.01,0.05,linear,2,1,0.7244897959183674
90,0.01,0.05,linear,2,2,0.7244897959183674
91,0.01,0.05,linear,2,3,0.7244897959183674
92,0.01,0.05,linear,3,0,0.7244897959183674
93,0.01,0.05,linear,3,1,0.7244897959183674
94,0.01,0.05,linear,3,2,0.7244897959183674
95,0.01,0.05,linear,3,3,0.7244897959183674
96,0.01,0.05,linear,4,0,0.7244897959183674
97,0.01,0.05,linear,4,1,0.7244897959183674
98,0.01,0.05,linear,4,2,0.7244897959183674
99,0.01,0.05,linear,4,3,0.7244897959183674
100,0.01,0.05,poly,0,0,0.6632653061224489
101,0.01,0.05,poly,0,1,0.6632653061224489
102,0.01,0.05,poly,0,2,0.6632653061224489
103,0.01,0.05,poly,0,3,0.6632653061224489
104,0.01,0.05,poly,1,0,0.6530612244897959
105,0.01,0.05,poly,1,1,0.6530612244897959
106,0.01,0.05,poly,1,2,0.6530612244897959
107,0.01,0.05,poly,1,3,0.6530612244897959
108,0.01,0.05,poly,2,0,0.6632653061224489
109,0.01,0.05,poly,2,1,0.7244897959183674
110,0.01,0.05,poly,2,2,0.7244897959183674
111,0.01,0.05,poly,2,3,0.7244897959183674
112,0.01,0.05,poly,3,0,0.7142857142857143
113,0.01,0.05,poly,3,1,0.7244897959183674
114,0.01,0.05,poly,3,2,0.7244897959183674
115,0.01,0.05,poly,3,3,0.7448979591836735
116,0.01,0.05,poly,4,0,0.7040816326530612
117,0.01,0.05,poly,4,1,0.7346938775510204
118,0.01,0.05,poly,4,2,0.7755102040816326
119,0.01,0.05,poly,4,3,0.7755102040816326
120,0.01,0.05,rbf,0,0,0.6632653061224489
121,0.01,0.05,rbf,0,1,0.6632653061224489
122,0.01,0.05,rbf,0,2,0.6632653061224489
123,0.01,0.05,rbf,0,3,0.6632653061224489
124,0.01,0.05,rbf,1,0,0.6632653061224489
125,0.01,0.05,rbf,1,1,0.6632653061224489
126,0.01,0.05,rbf,1,2,0.6632653061224489
127,0.01,0.05,rbf,1,3,0.6632653061224489
128,0.01,0.05,rbf,2,0,0.6632653061224489
129,0.01,0.05,rbf,2,1,0.6632653061224489
130,0.01,0.05,rbf,2,2,0.6632653061224489
131,0.01,0.05,rbf,2,3,0.6632653061224489
132,0.01,0.05,rbf,3,0,0.6632653061224489
133,0.01,0.05,rbf,3,1,0.6632653061224489
134,0.01,0.05,rbf,3,2,0.6632653061224489
135,0.01,0.05,rbf,3,3,0.6632653061224489
136,0.01,0.05,rbf,4,0,0.6632653061224489
137,0.01,0.05,rbf,4,1,0.6632653061224489
138,0.01,0.05,rbf,4,2,0.6632653061224489
139,0.01,0.05,rbf,4,3,0.6632653061224489
140,0.01,0.05,sigmoid,0,0,0.6632653061224489
141,0.01,0.05,sigmoid,0,1,0.6632653061224489
