,groupName,rank,UniqueWordCount,rfPred,rfClassPred,svmPred,svmClassPred
0,ISIS006,1,0.408233276158,2.69666666667,1,1.85076199401,1
1,Bahai02,5,0.450819672131,3.3166666666699998,3,3.62052509422,3
2,ACLU03,3,0.399134199134,4.34333333333,5,3.90223517954,3
3,Shepherd459,3,0.285545023697,3.51666666667,3,3.49022366833,5
4,AEU011,8,0.217583497053,3.05,4,2.3801449690000003,2
5,ISIS005,1,0.5559322033899999,5.27,3,5.15826457448,8
6,MehrBaba228,3,0.327643171806,4.57,5,4.43880166765,4
7,MalcolmX013,2,0.23981753014,2.32,2,1.4559935592,2
8,Shepherd005,1,0.281561822126,3.62,5,2.43160406236,5
9,JohnPiper038,5,0.19959908362,3.76333333333,2,2.21389597751,3
10,MalcolmX010,2,0.221227284698,2.38,2,1.67788477492,2
11,YV01,3,0.52602739726,3.51,3,2.9132045423000004,3
12,Unitarian145,7,0.2569213732,3.47333333333,5,4.205974342709999,5
13,Shepherd260,3,0.264742785445,4.57333333333,4,4.38216522254,4
14,MalcolmX004,2,0.167492430498,1.84333333333,2,1.4901941896000002,2
15,PastorAnderson018,1,0.0797708241516,3.56333333333,2,3.5520569375499997,2
16,ACLU10,3,0.389931740614,4.13,3,3.7006543126800002,3
17,JohnPiper358,1,0.185510428101,3.37333333333,3,3.32440286008,4
18,YV09,7,0.309752400202,3.63666666667,5,3.8957005387300003,5
19,PastorAnderson144,1,0.092755725982,3.0,2,3.0642427708,2
20,YV27,5,0.45553822152900003,5.33666666667,5,5.1203586273,6
21,YV39,1,0.438016528926,3.67666666667,2,2.4639379864400004,2
22,ISIS011,1,0.235414186086,1.74666666667,1,1.19736936343,1
23,MehrBaba097,5,0.306471306471,3.77333333333,3,3.7287851059300006,2
24,YV10,8,0.37901498929300004,4.09666666667,5,4.134538967619999,4
25,Bahai10,6,0.39498018494099996,5.506666666669999,5,5.6659289282300005,6
26,PastorAnderson227,1,0.11281657713,2.66666666667,2,1.9864828872099998,2
27,YV04,3,0.259136212625,4.94333333333,4,5.08293493386,2
28,ISIS007,1,0.46948356807499997,3.48333333333,2,4.05530934064,3
29,PastorAnderson155,1,0.09878103837470001,1.72666666667,1,0.770270199243,1
30,SeaShepherds400,2,0.399592252803,2.66,2,2.12576825208,2
31,DorothyDay556,5,0.429752066116,3.14,2,3.8725390058999998,3
32,MalcolmX009,2,0.18651124063299998,1.90666666667,2,2.06601216542,2
33,DorothyDay399,3,0.427604871448,3.98,3,4.67341351023,2
34,MehrBaba081,7,0.331223628692,5.35666666667,6,5.0122946418800005,4
35,YV05,4,0.272785622593,3.31333333333,4,5.05412625379,2
36,Bahai03,5,0.39817232376,3.77,3,3.34027196234,2
37,AEU005,8,0.525423728814,3.21333333333,3,2.82882686584,3
38,Shepherd224,4,0.27995478523,4.54,5,3.6786874581999998,5
39,Unitarian260,5,0.283329522067,3.63333333333,5,3.49474766988,5
40,YV08,6,0.20686695279,2.25333333333,2,4.05969996759,5
41,DorothyDay056,3,0.477922077922,5.01666666667,5,4.02736753991,3
42,DorothyDay565,4,0.401564537158,3.6833333333300002,4,3.0755823205,2
43,Bahai05,6,0.42420212766000004,5.04666666667,4,5.7459847675999995,4
44,LiberalJudaism109,3,0.345427059713,4.25,3,3.4324795863700004,3
45,MalcolmX006,2,0.175953594656,2.3166666666699998,1,2.35637767815,1
46,Bahai06,5,0.425149700599,5.05,6,5.5820935026,6
47,DorothyDay142,4,0.430910951894,3.48666666667,2,3.9991711615300005,3
48,WBC422,1,0.17207104448399999,3.11666666667,2,2.23915047431,1
49,ISIS004,2,0.237067773167,2.82333333333,3,2.0371603859,1
50,JohnPiper018,3,0.199736031676,3.19,4,3.69560644171,2
51,JohnPiper032,3,0.270182992465,2.45,3,2.4678145806400003,3
52,PastorAnderson089,1,0.09784967449200001,1.80666666667,1,1.2171255214899999,1
53,LiberalJudaism117,4,0.374485596708,4.03,3,4.3365243390099995,3
54,AEU014,7,0.48275862069,3.21666666667,2,2.12216150339,2
55,ISIS003,1,0.40909090909100004,4.12666666667,6,5.446628659990001,6
56,ACLU07,3,0.278918918919,3.59,3,2.86997521759,3
57,YV03,3,0.375,4.92,5,5.13155423386,5
58,ISIS009,1,0.613559322034,2.86666666667,1,3.70001285611,3
59,Unitarian270,5,0.231481481481,2.15666666667,2,3.00114560339,5
60,WBC228,1,0.254343807763,3.26666666667,2,2.63214447438,2
61,LiberalJudaism140,5,0.31105854524,3.38333333333,3,4.02811419038,3
62,Shepherd404,3,0.264334655608,4.34666666667,5,3.50572505934,5
63,ACLU12,3,0.5412979351030001,4.12333333333,3,4.2402393726800005,3
64,Bahai01,6,0.474025974026,3.96,3,5.59708338913,6
65,MehrBaba161,2,0.277353689567,3.15,3,4.04936786454,3
0,YV02,6,0.514950166113,3.38333333333,5,3.89754970546,3
1,DorothyDay406,4,0.522788203753,3.94333333333,3,5.01010736392,5
2,DorothyDay258,4,0.44142614601,4.33,5,4.92369884054,5
3,AEU008,8,0.40181268882200005,4.53333333333,2,4.2041923706,8
4,AEU013,8,0.484848484848,3.64666666667,3,3.82074445203,5
5,Shepherd358,5,0.237654320988,3.63666666667,5,3.9157047193800003,5
6,ACLU04,3,0.381730769231,2.42,1,2.4986332094,3
7,YV56,5,0.316946959897,4.19666666667,5,3.54230976302,3
8,MehrBaba081,7,0.331223628692,4.40666666667,6,4.7285473924699994,3
9,MehrBaba125,9,0.313741064337,2.58666666667,1,3.60492081819,3
10,ACLU03,3,0.399134199134,4.17666666667,5,3.58393362756,5
11,Shepherd459,3,0.285545023697,2.88666666667,3,2.5070219041299997,1
12,ISIS005,1,0.5559322033899999,4.09,3,4.21386883095,3
13,MalcolmX010,2,0.221227284698,2.7,1,1.87971878086,2
14,Bahai04,6,0.384813384813,3.7033333333300003,1,3.8404962247300003,5
15,JohnPiper031,3,0.29528535980099996,3.40333333333,3,2.59058930036,3
16,Shepherd726,2,0.26258992805799997,3.16333333333,2,2.5292153316999997,1
17,MalcolmX013,2,0.23981753014,1.58666666667,1,1.45284084486,2
18,AEU006,6,0.287084541602,3.90666666667,4,3.4447553470699996,4
19,DorothyDay001,3,0.466037735849,4.29333333333,1,5.00858856112,5
20,SeaShepherds399,3,0.396928051738,3.82333333333,1,4.20241250699,3
21,PastorAnderson044,2,0.09325905292480001,3.17666666667,1,2.45245151862,1
22,ISIS002,2,0.401960784314,2.98,1,2.15984534778,1
23,DorothyDay383,5,0.415868673051,4.52,3,5.11980341084,8
24,JohnPiper358,1,0.185510428101,2.56,1,2.50850191879,3
25,AEU003,8,0.514450867052,3.46333333333,5,2.77802752365,2
26,JohnPiper104,5,0.196445880452,3.07333333333,3,2.96149569519,2
27,MehrBaba097,5,0.306471306471,2.62666666667,3,2.69208908913,3
28,PastorAnderson160,1,0.105192821688,2.82,1,2.2248112187299998,1
29,YV10,8,0.37901498929300004,3.87666666667,5,3.5225717207300002,3
30,YV12,6,0.493827160494,4.73666666667,6,6.78283041431,6
31,Shepherd175,4,0.279792746114,3.76,3,4.076501315280001,3
32,YV43,4,0.5085995086,4.58333333333,3,3.69866236073,5
33,LiberalJudaism066,3,0.356351236147,4.09333333333,3,2.4002407036,3
34,DorothyDay556,5,0.429752066116,3.00666666667,4,3.7393376017400004,3
35,Unitarian118,6,0.295359685735,3.58666666667,5,2.17760412703,3
36,DorothyDay399,3,0.427604871448,3.19666666667,4,3.68546861893,3
37,DorothyDay497,4,0.427631578947,2.73666666667,3,3.21640119847,3
38,AEU005,8,0.525423728814,3.5666666666699998,1,2.24490703535,3
39,Shepherd224,4,0.27995478523,3.47666666667,3,3.15719287505,5
40,Bahai05,6,0.42420212766000004,4.23,5,4.9547833062699995,5
41,ACLU09,3,0.401086956522,4.0366666666699995,3,3.93910739251,5
42,MalcolmX009,2,0.18651124063299998,1.76333333333,2,2.18912670761,2
43,YV09,7,0.309752400202,3.01666666667,3,3.70162287748,5
44,JohnPiper250,5,0.27243735763099997,2.55333333333,3,1.699508981,1
45,MalcolmX006,2,0.175953594656,2.78666666667,3,3.1299525249199998,1
46,WBC422,1,0.17207104448399999,3.44333333333,2,3.1074412765599995,2
47,LiberalJudaism117,4,0.374485596708,4.12333333333,3,4.79462094072,3
48,SeaShepherds398,2,0.43251533742299997,3.93,5,3.29289415862,5
49,AEU014,7,0.48275862069,3.27,2,2.4016939694099997,2
50,DorothyDay611,2,0.40699523052500003,4.51,5,2.6724117057799996,3
51,YV03,3,0.375,4.46,3,5.918728074550001,5
52,ISIS009,1,0.613559322034,2.65333333333,2,2.37816817754,3
53,LiberalJudaism064,1,0.35313531353100003,2.72666666667,1,1.50359238829,2
54,PastorAnderson119,1,0.111052797313,2.22333333333,1,1.55807839258,1
55,LiberalJudaism140,5,0.31105854524,3.76333333333,3,4.14733355624,3
56,DorothyDay412,3,0.44704264099,4.46666666667,5,4.3013478997600005,3
57,MalcolmX002,2,0.15167906242999998,1.7066666666699999,1,2.3792863875599997,2
58,JohnPiper265,4,0.191712013395,2.99,2,3.34035486148,2
0,YV02,6,0.514950166113,3.9333333333300002,2,3.15047227098,3
1,Unitarian219,4,0.31597425395,4.48333333333,5,4.50038930746,5
