,Unnamed: 0,group,filepath,subgroup
0,0,DorothyDay,./data_dsicap/DorothyDay/raw/581.html.txt,test17
1,1,DorothyDay,./data_dsicap/DorothyDay/raw/370.html.txt,test03
2,2,DorothyDay,./data_dsicap/DorothyDay/raw/374.html.txt,test01
3,3,DorothyDay,./data_dsicap/DorothyDay/raw/220.html.txt,train02
4,4,DorothyDay,./data_dsicap/DorothyDay/raw/276.html.txt,train32
5,5,DorothyDay,./data_dsicap/DorothyDay/raw/429.html.txt,test03
6,6,DorothyDay,./data_dsicap/DorothyDay/raw/866.html.txt,train13
7,7,DorothyDay,./data_dsicap/DorothyDay/raw/464.html.txt,train07
8,8,DorothyDay,./data_dsicap/DorothyDay/raw/891.html.txt,test23
9,9,DorothyDay,./data_dsicap/DorothyDay/raw/515.html.txt,train30
10,10,DorothyDay,./data_dsicap/DorothyDay/raw/852.html.txt,train35
11,11,DorothyDay,./data_dsicap/DorothyDay/raw/676.html.txt,train46
12,12,DorothyDay,./data_dsicap/DorothyDay/raw/579.html.txt,train32
13,13,DorothyDay,./data_dsicap/DorothyDay/raw/270.html.txt,train02
14,14,DorothyDay,./data_dsicap/DorothyDay/raw/161.html.txt,train19
15,15,DorothyDay,./data_dsicap/DorothyDay/raw/694.html.txt,train17
16,16,DorothyDay,./data_dsicap/DorothyDay/raw/861.html.txt,train00
17,17,DorothyDay,./data_dsicap/DorothyDay/raw/596.html.txt,test04
18,18,DorothyDay,./data_dsicap/DorothyDay/raw/834.html.txt,train07
19,19,DorothyDay,./data_dsicap/DorothyDay/raw/454.html.txt,train27
20,20,DorothyDay,./data_dsicap/DorothyDay/raw/317.html.txt,train11
21,21,DorothyDay,./data_dsicap/DorothyDay/raw/283.html.txt,train51
22,22,DorothyDay,./data_dsicap/DorothyDay/raw/513.html.txt,test07
23,23,DorothyDay,./data_dsicap/DorothyDay/raw/902.html.txt,train47
24,24,DorothyDay,./data_dsicap/DorothyDay/raw/203.html.txt,train16
25,25,DorothyDay,./data_dsicap/DorothyDay/raw/15.html.txt,train33
26,26,DorothyDay,./data_dsicap/DorothyDay/raw/452.html.txt,train00
27,27,DorothyDay,./data_dsicap/DorothyDay/raw/631.html.txt,test15
28,28,DorothyDay,./data_dsicap/DorothyDay/raw/666.html.txt,test13
29,29,DorothyDay,./data_dsicap/DorothyDay/raw/385.html.txt,train37
30,30,DorothyDay,./data_dsicap/DorothyDay/raw/594.html.txt,train47
31,31,DorothyDay,./data_dsicap/DorothyDay/raw/793.html.txt,train37
32,32,DorothyDay,./data_dsicap/DorothyDay/raw/863.html.txt,train23
33,33,DorothyDay,./data_dsicap/DorothyDay/raw/42.html.txt,train00
34,34,DorothyDay,./data_dsicap/DorothyDay/raw/440.html.txt,train25
35,35,DorothyDay,./data_dsicap/DorothyDay/raw/214.html.txt,train18
36,36,DorothyDay,./data_dsicap/DorothyDay/raw/941.html.txt,train27
37,37,DorothyDay,./data_dsicap/DorothyDay/raw/812.html.txt,train00
38,38,DorothyDay,./data_dsicap/DorothyDay/raw/13.html.txt,train53
39,39,DorothyDay,./data_dsicap/DorothyDay/raw/301.html.txt,test11
