,fileName,judgements
0,./data_dsicap/IntegralYoga/raw/YV03.txt,"['The Meaning of the Yantra by Sri Swami Satchidananda Integral **CODEC_ERROR** is a complete Yoga , and the Integral Yoga yantra is also complete ; it is a representation of the entire cosmos .', 'When mantras ( sound formulas used in meditation ) or divine ideas are meditated upon , certain images are brought out .', 'A yantra is a physical expression of a mantra **CODEC_ERROR** a mantra being a Divine aspect in the form of sound vibration **CODEC_ERROR** yantra in the form of a geometrical figure .', 'As God begins to manifest , the first expression is as the sound vibration .', 'But , of course , if it is that small we **CODEC_ERROR** see it , so in the yantra it is shown as a large dot in the very center .', 'All differences in the phenomenal world are due to the variations of these three basic qualities .', 'If you take a photograph of a crystal , you will see that its normal shape is six-sided .', 'The triangle with apex upward represents the positive , or masculine aspect ; the inverted triangle is the negative , or feminine , aspect .']"
1,./data_dsicap/IntegralYoga/raw/YV22.txt,"['If your goal is to tap into the permanent peace and joy that is your true nature , then it is a spiritual practice .', 'But when you achieve the benefits of those meditations they **CODEC_ERROR** last long , they are temporary .', 'But normally we **CODEC_ERROR** refer to meditation as a spiritual practice if we are meditating on things that only bring temporary happiness .', 'But in the spiritual sense , when you say **CODEC_ERROR** , **CODEC_ERROR** **CODEC_ERROR** not to be used for running after temporary pleasures in life .', 'This concept is something like what is meant by the well-known saying , **CODEC_ERROR** rolling stone gathers no **CODEC_ERROR** Another analogy for the unfocused mind is an open water tap .', 'Similarly , if you allow the mind to race from one thing to the next , its power will be dissipated .', 'Great scientists , great thinkers , those who discovered many secrets of life and in nature , were good meditators .', 'That is the reason why the Yoga system is set-up to begin with the first two limbs which are devoted to cleaning the mind .', 'The outcome of that sincere meditation is the realization of your true nature or true self .']"
2,./data_dsicap/IntegralYoga/raw/YV04.txt,"['This goal is achieved by maintaining our natural condition of a body of optimum health and strength ; senses under total control ; a mind well-disciplined , clear and calm ; an intellect as sharp as a razor ; a will as strong and pliable as steel ; a heart full of unconditional love and compassion ; an ego as pure as crystal ; and a life filled with Supreme Peace and **CODEC_ERROR** ~Sri Swami Satchidananda What is the definition of Yoga ?', 'At the very outset , Patanjali [ the sage who systematized the science of Yoga in his foundational text , the Yoga Sutras ] says , **CODEC_ERROR** Chitta Vritti **CODEC_ERROR** That is the first sutra .', '**CODEC_ERROR** the mind is **CODEC_ERROR** Often people think that standing on the head is Yoga ; that if you **CODEC_ERROR** know how to stand on your head , you are not a yogi .', 'Make sure your life is based on the yama and niyama : Ahimsa [ nonviolence ] , satya [ truthfulness ] , asteya [ non-stealing ] , brahmacharya [ continence ] , aparigraha [ non-coveting ] , and so on .', 'A waveless , calm clean mind is Yoga .', 'To keep the mind clean and **CODEC_ERROR** Anything that you do to calm the mind , to clean the mind could be called Yoga .', 'An angry thought is reddish in color , a sad gloomy color is a cloudy , gray color .', 'So , that way , your entire life is permeated with the yogic teaching .', 'We all share this common aim : we want to be happy .', 'A person will never be happy as long as he or she is selfish .']"
3,./data_dsicap/IntegralYoga/raw/YV35.txt,"['So there are two levels of obstacles presented in the Yoga Sutras : the fundamental ones that are more permanent , and the more superficial ones that may or may not be in play at any given time .', 'After assessing the situation , in Book 2 , sutra 16 , he boldly proclaims that the situation is curable , **CODEC_ERROR** that has not yet come is **CODEC_ERROR** It is one of the most life-affirming , hope-filled statements in the entire text .', 'In Book 1 , sutra 2 , he gives the goal of Yoga : **CODEC_ERROR** restraint of the modifications of the mind-stuff is **CODEC_ERROR** Then , in Book 1 , sutra 12 , he tells us how to accomplish this restraint : **CODEC_ERROR** mental modifications are restrained by practice and **CODEC_ERROR** Both practice and non-attachment are needed to go deep in meditation .', 'If you practice without non-attachment , it is like trying to move in opposite directions at the same time ; you **CODEC_ERROR** make it to your goal .', 'But that is not enough : **CODEC_ERROR** also essential to determine what is causing the problem and stay away from that .', 'In Book 1 , sutra 23 , he announces : **CODEC_ERROR** [ samadhi is attained ] by devotion with total dedication to **CODEC_ERROR** This seminal sutra , which seems to suddenly appear , is all the more remarkable when one considers that this is a radical departure from the Sankhya metaphysics upon which the Yoga Sutras is based ; Sankhya contains no such concept of God .', 'Sri Gurudev even says , **CODEC_ERROR** , nobody can achieve eternal peace by doing something with the mind , which is part of nature .', 'That supreme joy can only be acquired when you rise above nature by complete **CODEC_ERROR** In other words , self-effort alone can only take us so far when the mind is trying to control the mind , in order to transcend the mind .']"
4,./data_dsicap/IntegralYoga/raw/YV47.txt,"['I may talk the whole day about how tasty the sweets are ; but , unless you take time to eat , they are just words .']"
5,./data_dsicap/IntegralYoga/raw/YV31.txt,"['With the current burgeoning of interest in expanding consciousness and in mental science in general , it is natural that we turn to the ancient science of Raja Yoga .', 'The Yoga Sutras comprise the first and foremost scripture of Yoga and within these 200 short sutras , the entire science of Yoga is delineated .', 'If the restraint of the mental modifications is achieved one has reached the goal of Yoga .', 'All the differences in the outside world are the outcome of your mental modifications .', 'There is a Sanskrit saying , **CODEC_ERROR** eva manushyanam karanam bandha **CODEC_ERROR** **CODEC_ERROR** the mind , so the man ; bondage or liberation are in your own **CODEC_ERROR** If you feel bound , you are bound .', '**CODEC_ERROR** the Seer [ Self ] abides in His own **CODEC_ERROR** You are that true Seer .', 'When the mind ceases to create thought forms or when the chittam is completely free from vrittis , it becomes as clear as a still lake and you see your true Self .', 'And , according to the Yogic scientists like **CODEC_ERROR** even many modern **CODEC_ERROR** the different forms of energy is one unchanging consciousness or spirit or Self .', 'By resting , Patanjali means that the true you is resting while your body and mind function .', 'When you are the witness you are not responsible for your actions because you are not acting .', 'So , either act and be responsible , or allow the mind and body to act and be a witness , totally free .']"
6,./data_dsicap/IntegralYoga/raw/YV10.txt,"['A few months had passed and I was learning all about meditation , or should I say **CODEC_ERROR** Keeping the mind quiet was an impossible task !', '**CODEC_ERROR** His answer was always the same , **CODEC_ERROR** , you are already doing **CODEC_ERROR** I remember getting so frustrated , as I felt I was not getting anywhere in a hurry .', 'As Sri Patanjali would say **CODEC_ERROR** becomes well-grounded , when done for a long time , without a break and with all **CODEC_ERROR** I started reading about mantras and being initiated , and my mind then became obsessed with the thought , **CODEC_ERROR** need a mantra , I really want a **CODEC_ERROR** I never spoke about this to anyone , not even Gurudeva .', 'In those days I thought one had to be so pure to receive a mantra and I knew I was far from that .']"
7,./data_dsicap/IntegralYoga/raw/YV28.txt,"['Psychologist Rollo May , in his book , Physicians of the Soul , says , **CODEC_ERROR** of violence in our society are performed largely by those trying to establish their self-image , to defend their self-image , and to demonstrate that they , too , are **CODEC_ERROR** Unfortunately now out-of-print , Vimala **CODEC_ERROR** book , The Ethics of Love , is a beautiful treatise on applications of yama and niyama in daily life .', 'She defines satya as , **CODEC_ERROR** the truth with a spirit of kindness and living an honest **CODEC_ERROR** The cultivation of these virtues should not be misunderstood as a self-righteous perfectionism .', 'Satya is essential to the psychospiritual process ; it is the ability to look honestly at **CODEC_ERROR** of **CODEC_ERROR** the shadow side .', 'Asteya is the precept of non-stealing and it is not limited to law-breaking acts .', 'It involves respecting our own and other **CODEC_ERROR** possessions , learning how to love others unconditionally and how to help others get their needs **CODEC_ERROR** The literal translation of brahmacharya is one who seeks Brahman ( the Supreme ) .', 'For non-monastics , brahmacharya may be viewed as the discipline of living a life of moderation , a lifestyle that ensures that excess energy needed for psychospiritual development is not wasted in unbridled sensory indulgence .', 'As Vimala McClure writes , **CODEC_ERROR** definition of simplicity is not to allow greed to dominate our thoughts and actions .', '[ Saucha ] means we commit ourselves to healing and thus **CODEC_ERROR** **CODEC_ERROR** Santosha is contentment and it has been said **CODEC_ERROR** is **CODEC_ERROR** Contentment is the result of practicing acceptance .', 'Contentment is a poised place , a place of centeredness within **CODEC_ERROR** core being , a place that is empowering ; it is a remedy for the psychological victimization many people feel in their lives .', 'To those uncomfortable with this term , it is equally meaningful to say that it is to align oneself with the Higher Power , with **CODEC_ERROR** Higher Self , or with the Cosmic Consciousness .']"
8,./data_dsicap/IntegralYoga/raw/YV25.txt,"['When you are in the **CODEC_ERROR** physical presence you may think that the guidance is coming form the physical side .', 'That relationship is eternal , and guru and disciple can never be separated .']"
9,./data_dsicap/IntegralYoga/raw/YV07.txt,"['If we **CODEC_ERROR** make this little world of ours a happy and harmonious place to live , there is no point in talking about global harmony or global peace .', 'There is no **CODEC_ERROR** and **CODEC_ERROR** There is only **CODEC_ERROR** **CODEC_ERROR** **CODEC_ERROR** home , and all feel that they are just children in that home .', 'Our properties are common ; our money is common ; our kitchen is common ; our school is common .', 'Nobody is superior ; nobody is inferior .', 'Our aim is that we want this as a sort of exemplary world which we are all looking for .', 'If we **CODEC_ERROR** make a heaven in this little place , then , what is the point of talking about a peaceful , heavenly world everywhere ?', 'May more people learn to be Yogis .']"
