,fileName,sentence
0,./data_dsicap/Bahai/raw/Bahai02.txt,"['**CODEC_ERROR** believe that people who want to grow spiritually must free themselves from their prejudices .', 'Whether religious , racial , ethnic , political , national , gender- or sexual orientation- or class-specific , the **CODEC_ERROR** writings urge everyone to examine and then discard their own prejudices : **CODEC_ERROR** has also taught that prejudices , whether religious , racial , patriotic or political are destructive to the foundations of human development .', 'Therefore if we seek to establish peace we must cast aside this obstacle , for otherwise agreement and composure are not to be attained .', 'Writing about the great toll World War I took , **CODEC_ERROR** characterized prejudice as the breeding ground of mass human tragedy : Ye observe how the world is divided against itself , how many a land is red with blood and its very dust is caked with human gore .', 'Human Family concept treeThe **CODEC_ERROR** teachings ask us all , every human being , to become aware of our prejudices , understand why we have them , and give them up .', 'We can first begin to transcend our prejudices by fearlessly examining our own inner spiritual landscape .', 'Finding ways to understand where our prejudices come from is a good first step .', 'Questioning our attitudes , our beliefs and our family culture can lead us to that understanding .', 'Often the best way to do that involves leaving our comfort zones and having real human interaction with the people our prejudices unfairly target .', 'Once we have contact and interact with others , we quickly learn that our prejudices do not conform to reality .', 'And once that happens , once bonds of human connection form , once we have a broad base of experience with a culture or a racial group or an ethnicity or even an idea that we formerly disliked out of prejudice **CODEC_ERROR** then we can change .', 'We must obey God , and strive to follow Him by leaving all our prejudices and bringing about peace on earth .']"
1,./data_dsicap/Bahai/raw/Bahai05.txt,"['For it is clear that the purpose of a remedy is to cure ; but if the remedy should only aggravate the complaint it had better be left alone .', 'All the holy prophets were as doctors to the soul ; they gave prescriptions for the healing of mankind ; thus any remedy that causes disease does not come from the great and supreme Physician .', 'Instead , some leaders , clerics and rulers who want power or influence have found ways of convincing people their religion permits or even empowers such inhumane behavior .', 'Like every living thing , religion has its birth , its blossoming and its decline : Diversity tree green people illustrationThe divine prophets have revealed and founded religion .', 'It is not reasonable that man should hold to the old tree , claiming that its life forces are undiminished , its fruit unequalled , its existence eternal .', 'It brings the contending peoples of the earth a new set of guidelines for reconciliation and renewal ; it re-establishes and re-organizes the foundation of Faith ; it redeems and re-creates us all by bringing about a new spiritual springtime .']"
2,./data_dsicap/Bahai/raw/Bahai30.txt,"['In the same way that disease is transferred from one body to another with rapid and strong contagion , it may be that the strong health of a healthy man will alleviate a very slight malady in a sick person .', 'Sometimes one can benefit a sick person by placing **CODEC_ERROR** hand upon his head or upon his heart .', 'Of the two other kinds of healing which are **CODEC_ERROR** is to say , where the means of cure is a spiritual **CODEC_ERROR** results from the entire concentration of the mind of a strong person upon a sick person , when the latter expects with all his concentrated faith that a cure will be effected from the spiritual power of the strong person , to such an extent that there will be a cordial connection between the strong person and the invalid .', 'So when a sick person has a strong desire and intense hope for something and hears suddenly the tidings of its realization , a nervous excitement is produced which will make the malady entirely disappear .', 'The cause of the sickness will be no material thing , for that person has not eaten anything , and nothing harmful has touched him ; the excitement of the nerves is then the only cause of the illness .', 'To conclude , the complete and perfect connection between the spiritual doctor and the sick **CODEC_ERROR** is , a connection of such a kind that the spiritual doctor entirely concentrates himself , and all the attention of the sick person is given to the spiritual doctor from whom he expects to realize **CODEC_ERROR** an excitement of the nerves , and health is produced .']"
3,./data_dsicap/Bahai/raw/Bahai37.txt,"['If **CODEC_ERROR** ever had a bacterial infection , you probably took antibiotics to help heal it .', 'Like microbes , the growing number of those kinds of people soon overcome the natural defenses of the society , compromising its values , tearing down its internal defenses and threatening its continued existence .', 'The **CODEC_ERROR** teachings tell us that we need a universal , spiritual antibiotic to counter the infectious pandemics of prejudice and corruption : O thou seeker after the Kingdom !', 'The world of man is sick , and that competent Physician knoweth the cure , arising as He doth with teachings , counsels and admonishments that are the remedy for every pain , the healing balm to every wound .', 'It is certain that the wise physician can diagnose his **CODEC_ERROR** needs at any season , and apply the cure .', 'The teachings **CODEC_ERROR** **CODEC_ERROR** unity , the oneness of humanity , global peace , the eradication of bigotry and prejudice and the establishment of **CODEC_ERROR** a healing prescription for the sicknesses that have infected our civilization : **CODEC_ERROR** Teachings of God are as healing balm , a medicine for the conscience of man .', 'If we diligently and faithfully apply this healing balm , the **CODEC_ERROR** teachings promise , it can heal the world .', 'We **CODEC_ERROR** treat just one symptom and expect the entire illness to respond .', 'We **CODEC_ERROR** focus on just a single outbreak of the illness in one part of the world and ignore the rest .', 'We **CODEC_ERROR** expect a simple pill or shot to fix such a grave pandemic malady .', 'Instead , we need a holistic , universal application of the spiritual cure .', 'With pandemics , public health experts try to do several things at once : treat the most severely-infected in order to save their lives ; prevent the further spread of the pathogen ; and educate or immunize the remaining part of the population .', '**CODEC_ERROR** the same essential spiritual advice the **CODEC_ERROR** teachings offer us for responding to the **CODEC_ERROR** ills : O army of God !', 'Praise be to God , **CODEC_ERROR** hath lifted the chains from off the necks of humankind , and hath set man free from all that trammelled him , and told him : Ye are the fruits of one tree and the leaves of one branch ; be ye compassionate and kind to all the human race .', 'Deal ye with strangers the same as with friends , cherish ye others just as ye would your own .', 'Be ye a refuge to the fearful ; bring ye rest and peace to the disturbed ; make ye a provision for the destitute ; be a treasury of riches for the poor ; be a healing medicine for those who suffer pain ; be ye doctor and nurse to the ailing ; promote ye friendship , and honour , and conciliation , and devotion to God , in this world of non-existence .', 'Only then will we have the collective strength to defeat the pernicious pathogens of prejudice and corruption , and develop enough robust , healthy energy to carry forth an ever-advancing civilization .']"
4,./data_dsicap/Bahai/raw/Bahai27.txt,"['Addressing mankind , He says , **CODEC_ERROR** are all leaves of one tree and the fruits of one **CODEC_ERROR** By this it is meant that the world of humanity is like a tree , the nations or peoples are the different limbs or branches of that tree , and the individual human creatures are as the fruits and blossoms thereof .', 'Some are ailing ; they need to be healed .']"
5,./data_dsicap/Bahai/raw/Bahai42.txt,"['As **CODEC_ERROR** himself notes , these are not intended to be constraints or restrictions on freedom : True liberty consisteth in **CODEC_ERROR** submission unto My commandments , little as ye know it .', 'Were men to observe that which We have sent down unto them from the Heaven of Revelation , they would , of a certainty , attain unto perfect liberty .', 'In my own simple way of explaining this principle through the years , I have often compared **CODEC_ERROR** laws to those we ask our children to follow .', 'But as I learned early in my journey , at the heart of **CODEC_ERROR** life is the attempt to become spiritual , and this process involves thousands of personal choices and judgment applied on a daily basis .', 'How do I raise my children in environments that are often calculated to destroy them ?', 'How do I prioritize my daily life according to the exigencies of my spiritual aspirations ?', 'At the heart of aspiring to spiritual development is not the avoidance of those activities that might prove destructive , nor is it a mindless adherence to those exercises that might help induce a spiritual attitude , but rather the thoughtful examination of those patterns of daily action that infuse within us a spiritual impetus , a daily guidance , short-term and long-term goals .', 'Keenly aware of this reality , I officially joined the **CODEC_ERROR** Faith in the Nashville , Tennessee **CODEC_ERROR** community immediately upon my return to school .', 'That was where I had done my most serious study of the **CODEC_ERROR** Faith , and this was the **CODEC_ERROR** community in which I would now participate in all **CODEC_ERROR** activities .', 'Most fortunate for me , this community enabled me to begin my spiritual path in the loving company of a body of believers who would forever establish in my mind the essential tenor and virtues of what a **CODEC_ERROR** community should be : Such close interaction , such complete cohesion , such continual harmony and fellowship between the various agencies that contribute to the organic life , and constitute the basic framework , of every properly functioning **CODEC_ERROR** community , is a phenomenon which offers a striking contrast to the disruptive tendencies which the discordant elements of present-day society so tragically manifest .']"
6,./data_dsicap/Bahai/raw/Bahai45.txt,"['It occurred to me as I was writing this piece on what it means to say **CODEC_ERROR** **CODEC_ERROR** something , that I will never be able to grasp , on my own , certain scientific or mathematical concepts .', 'Black holes , dark matter , imaginary numbers and mathematical proofs are doors closed in my face .', 'There are other things I can grasp and can articulate , and some I grasp but can not articulate .', 'When it comes to the things I can not grasp , I must accept the testimony of someone who claims the ability to grasp those concepts , do those experiments and understand their results .', 'I can only hope that they can describe these things to me so I can reason out whether or not they might be correct .', 'I have no way to prove the existence of such things as black holes or dark matter or neutrinos or imaginary numbers .', 'I take those things for granted , or at least they come so naturally to me that practice has given me some expertise and authority about ways in which they can be done .', '**CODEC_ERROR** pretty sure my readers can comprehend things and do things that I would find mind boggling .', 'I doubt it would occur to any of us to say , **CODEC_ERROR** **CODEC_ERROR** conceive of how to write a story or a song , or hear harmonies , therefore that ability does not **CODEC_ERROR** Having said that , people tell me that composing or writing or relative pitch is purely a matter of craft .', 'My experience indicates otherwise , but at the very least , if someone who had a **CODEC_ERROR** **CODEC_ERROR** for either music or prose wished to acquire the capacity to create either , they would need instruction from someone who already knew how to do those things .', 'For me , **CODEC_ERROR** easy to conceive of the idea that there are those whose capacities give them the ability to perceive and convey spiritual realities , just as a teacher of mathematics perceives and conveys mathematical ones , or a natural harmonist perceives and conveys musical ones .', 'Hence , when a number of individual and authoritative teachers arise and give the same testimony , at some point **CODEC_ERROR** we take their claims seriously enough to consider that there is something there ?', 'I am the beginning and the middle and the end of all things ; their seed of Eternity , their Treasure supreme .', 'If you really knew Me , you would know My Father as well .', 'This is the way of thy Lord , leading straight : We have detailed the signs for those who receive admonition .', '**CODEC_ERROR** hath manifested unto men the Day Stars of His divine guidance , the Symbols of His divine unity , and hath ordained the knowledge of these sanctified Beings to be identical with the knowledge of His own Self .', 'For in him are potentially revealed all the attributes and names of God to a degree that no other created being hath excelled or surpassed .', 'Even as He hath revealed : **CODEC_ERROR** will surely show them Our signs in the world and within **CODEC_ERROR** **CODEC_ERROR** **CODEC_ERROR** , Gleanings from the Writings of **CODEC_ERROR** , p. 177 .']"
7,./data_dsicap/Bahai/raw/Bahai35.txt,"['More than a hundred years ago , the **CODEC_ERROR** teachings maintained that God **CODEC_ERROR** all humanity from the same **CODEC_ERROR** We know , now , that every human being on the planet truly does belong to one **CODEC_ERROR** human race .', 'We know that fact scientifically , from DNA studies .', 'We all share the same **CODEC_ERROR** Sapiens **CODEC_ERROR** the same essential physical traits , even though we vary widely in non-essential traits like eye color and height and weight and skin tone .', 'In the same exact way , **CODEC_ERROR** all humans , regardless of our size , our eyes or our skin .', 'We **CODEC_ERROR** always thought about race the way we do now .', 'Actually , humans began categorizing people by race fairly recently , when we started looking at their physical traits and their social groups and giving them a familiar label , usually based on skin color .', 'People with the darkest skin we typically put in the African or **CODEC_ERROR** category .', 'People with brownish or reddish skin we often assign to the Hispanic or Arab or Indian categories .', 'It might surprise you to learn that this kind of classification scheme , this hue-specific taxonomy , **CODEC_ERROR** really occur to human beings until the 17th Century , and **CODEC_ERROR** come into wide use until the 1800s .', 'The great playwright actually made Othello a Moor and the character Aaron in Titus Andronicus an **CODEC_ERROR** Although we might think of Shakespeare as a racist today , because of his largely negative portrayals of dark-skinned characters , he also presented them as people , with a mixture of positive and negative traits .', 'So now , **CODEC_ERROR** think about another potential classification scheme : what if we began separating people by height ?', 'What if we had a tall race , a medium race and a short race , and they all hated each other ?', 'Or what about eye **CODEC_ERROR** we divided everyone into blue , brown , green and hazel races ?', 'To scientists , those arbitrary divisions are no more absurd than our relatively modern decision to separate and classify people by skin color .', 'You and I have DNA from indigenous roots somewhere in our **CODEC_ERROR** everyone does .', 'The **CODEC_ERROR** teachings agree completely with the science , calling skin color **CODEC_ERROR** mere **CODEC_ERROR** and an **CODEC_ERROR** : **CODEC_ERROR** A **CODEC_ERROR** heart may be pure and white though his outer skin be black ; or his heart be dark and sinful though his racial color is white .', 'The heart illumined by the light of God is nearest and dearest to God , and inasmuch as God has endowed man with such favor that he is called the image of God , this is truly a supreme perfection of attainment , a divine station which is not to be sacrificed by the mere accident of color .']"
8,./data_dsicap/Bahai/raw/Bahai33.txt,"['She has light skin , hazel eyes , straight , light brown hair and describes herself as having **CODEC_ERROR** Caucasian **CODEC_ERROR** But **CODEC_ERROR** black .', 'Because of this big difference in skin color , at one point in her younger life , she began to suspect that her parents **CODEC_ERROR** telling her everything about her **CODEC_ERROR** she constructed a detailed family tree by talking to all the relatives she could find .', 'She learned about a grandmother **CODEC_ERROR** never met , one who died early in her marriage to my **CODEC_ERROR** maternal grandfather .', 'When she found the picture , she told me , she had an **CODEC_ERROR** she immediately realized she looked exactly like that long-lost grandmother .', '**CODEC_ERROR** my grandmother told me once .', 'Genetics are powerful , and all of us inherit certain traits , whether dominant or recessive , then pass them down to our progeny .', 'Everyone in my **CODEC_ERROR** , father , four **CODEC_ERROR** had dark hair .', 'My brothers and sisters used to joke that I was adopted .', 'But sure enough , that great-uncle my grandmother told me I resembled had blonde hair , too .', 'Everyone shares a single set of ancestors , despite the fact that we may look very different from each other ; and 2 .', 'Our DNA reveals that race has no scientific basis at all .', 'Instead , it may just indicate when our ancestors stopped marrying outside their tribe .', 'Just like my friend , the way we look may not have anything to do with where we came from , either parentally or geographically .', 'We are all biracial , triracial , multiracial .', 'Yes , we humans have a wide spectrum of skin color , all the way from very dark to very light , but so what ?', 'We also have a wide spectrum of nose shapes and eye colors and shoe **CODEC_ERROR** we **CODEC_ERROR** base anything meaningful or important on those minor variations .', 'In the same way , **CODEC_ERROR** said , we should see skin color as non-essential but beautiful in its variety : In the realm of existence colors are of no importance .', 'Rather , colors are the cause of the adornment of the garden because a single color has no appeal ; but when you observe many-colored flowers , there is charm and display .', 'Doves are of many colors ; nevertheless , they live in utmost harmony .', 'They never look at color ; instead , they look at the species .', 'In the same way , other birds and varicolored animals never look at color ; they look at the species .', 'Now ponder this : Animals , despite the fact that they lack reason and understanding , do not make colors the cause of conflict .', 'In origin they were one ; they were the same color .', 'These colors developed later due to climates and regions ; they have no significance whatsoever .']"
9,./data_dsicap/Bahai/raw/Bahai29.txt,"['For example , mind itself is an intellectual thing which has no outward existence .', 'Evil is simply their nonexistence .', 'In the same way , the sensible realities are absolutely good , and evil is due to their **CODEC_ERROR** is to say , blindness is the want of sight , deafness is the want of hearing , poverty is the want of wealth , illness is the want of health , death is the want of life , and weakness is the want of strength .', 'Are they good or evil , for they are existing beings ?', 'Yes , a scorpion is evil in relation to man ; a serpent is evil in relation to man ; but in relation to themselves they are not evil , for their poison is their weapon , and by their sting they defend themselves .', 'But as the elements of their poison do not agree with our **CODEC_ERROR** is to say , as there is antagonism between these different elements , therefore , this antagonism is evil ; but in reality as regards themselves they are good .', 'The epitome of this discourse is that it is possible that one thing in relation to another may be evil , and at the same time within the limits of its proper being it may not be evil .', 'Then it is proved that there is no evil in existence ; all that God created He created good .', 'Then it is evident that all evils return to nonexistence .']"
