,Unnamed: 0,group,filepath,subgroup
0,0,DorothyDay,./data_dsicap/DorothyDay/raw/581.html.txt,train06
1,1,DorothyDay,./data_dsicap/DorothyDay/raw/370.html.txt,train33
2,2,DorothyDay,./data_dsicap/DorothyDay/raw/374.html.txt,test04
3,3,DorothyDay,./data_dsicap/DorothyDay/raw/220.html.txt,test17
4,4,DorothyDay,./data_dsicap/DorothyDay/raw/276.html.txt,train37
5,5,DorothyDay,./data_dsicap/DorothyDay/raw/429.html.txt,test11
6,6,DorothyDay,./data_dsicap/DorothyDay/raw/866.html.txt,train35
7,7,DorothyDay,./data_dsicap/DorothyDay/raw/464.html.txt,test05
8,8,DorothyDay,./data_dsicap/DorothyDay/raw/891.html.txt,train28
9,9,DorothyDay,./data_dsicap/DorothyDay/raw/515.html.txt,test05
10,10,DorothyDay,./data_dsicap/DorothyDay/raw/852.html.txt,train17
11,11,DorothyDay,./data_dsicap/DorothyDay/raw/676.html.txt,train38
12,12,DorothyDay,./data_dsicap/DorothyDay/raw/579.html.txt,train09
13,13,DorothyDay,./data_dsicap/DorothyDay/raw/270.html.txt,train26
14,14,DorothyDay,./data_dsicap/DorothyDay/raw/161.html.txt,train09
15,15,DorothyDay,./data_dsicap/DorothyDay/raw/694.html.txt,train06
16,16,DorothyDay,./data_dsicap/DorothyDay/raw/861.html.txt,train02
17,17,DorothyDay,./data_dsicap/DorothyDay/raw/596.html.txt,train16
18,18,DorothyDay,./data_dsicap/DorothyDay/raw/834.html.txt,train52
19,19,DorothyDay,./data_dsicap/DorothyDay/raw/454.html.txt,test21
20,20,DorothyDay,./data_dsicap/DorothyDay/raw/317.html.txt,train37
21,21,DorothyDay,./data_dsicap/DorothyDay/raw/283.html.txt,test01
22,22,DorothyDay,./data_dsicap/DorothyDay/raw/513.html.txt,train28
23,23,DorothyDay,./data_dsicap/DorothyDay/raw/902.html.txt,train34
24,24,DorothyDay,./data_dsicap/DorothyDay/raw/203.html.txt,train16
25,25,DorothyDay,./data_dsicap/DorothyDay/raw/15.html.txt,test20
26,26,DorothyDay,./data_dsicap/DorothyDay/raw/452.html.txt,test08
27,27,DorothyDay,./data_dsicap/DorothyDay/raw/631.html.txt,test14
28,28,DorothyDay,./data_dsicap/DorothyDay/raw/666.html.txt,train11
29,29,DorothyDay,./data_dsicap/DorothyDay/raw/385.html.txt,test06
30,30,DorothyDay,./data_dsicap/DorothyDay/raw/594.html.txt,train03
31,31,DorothyDay,./data_dsicap/DorothyDay/raw/793.html.txt,train45
32,32,DorothyDay,./data_dsicap/DorothyDay/raw/863.html.txt,test09
33,33,DorothyDay,./data_dsicap/DorothyDay/raw/42.html.txt,train18
34,34,DorothyDay,./data_dsicap/DorothyDay/raw/440.html.txt,train22
35,35,DorothyDay,./data_dsicap/DorothyDay/raw/214.html.txt,train30
36,36,DorothyDay,./data_dsicap/DorothyDay/raw/941.html.txt,test20
37,37,DorothyDay,./data_dsicap/DorothyDay/raw/812.html.txt,train50
38,38,DorothyDay,./data_dsicap/DorothyDay/raw/13.html.txt,train12
39,39,DorothyDay,./data_dsicap/DorothyDay/raw/301.html.txt,train17
