,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,ensemble2pred
364,DorothyDay_test1,5,7.52161598206,"christ, worker, get, say, job, prison, too, meet, rememb, shall, fred, maurin, ask, dear, wash, thing, coffe, tamar, hope, nicki",0.0235013280502,0.0265027431024,0.6,0.4,0.343854490572,0.746020134265,0.0183250037862,0.00469483568075,0.0175677722247,0.010752688172,0.0113584734212,0.0116613660457,0.00908677873694,0.696150030366,0.624498069766,DorothyDay,4,4.17666666667,4,4.403205027,4,4
29,PastorAnderson_test6,5,58.7353699207,"say, bibl, vers, get, whi, unto, thing, shall, talk, look, pastor, know, christ, preach, let, want, jesus, testament, god, scriptur",0.0250713015941,0.0160033396613,1.0,0.0,0.382729549256,0.630652473079,0.0127464716536,0.0247240542665,0.0212896832177,0.0156511635854,0.0150873116222,0.0014523459659,0.0170864231282,0.75975002152,0.658192241063,PastorAnderson,2,2.09,2,2.83481665685,2,2
483,DorothyDay_test41,5,6.69807600975,"worker, joy, sing, too, talk, pictur, spin, hospit, psalm, tree, want, christ, silenc, miss, tamar, gandhi, get, thursday, love, night",0.0280605550167,0.0175091758454,0.8,0.2,0.322895927602,0.684112619407,0.0169462216842,0.00518761888293,0.0133148884662,0.00726266643611,0.00795434895383,0.00484177762407,0.0122773646896,0.691923933978,0.675165799998,DorothyDay,4,5.63,4,4.99239733271,4,4
337,DorothyDay_test37,5,10.9805989265,"say, room, love, poverti, priest, get, prayer, too, bread, christ, cotton, pray, cloth, know, worker, thing, night, enough, joy, tri",0.0291077689926,0.0203734006139,0.8,0.2,0.358528171492,0.769809481717,0.029267805414,0.00399560483468,0.0178803316352,0.011287583658,0.0125861552292,0.00399560483468,0.0132853860753,0.712755451588,0.597939947583,DorothyDay,4,4.06666666667,4,4.23698038055,4,4
137,Shepherd_test20,5,16.0142149925,"don, want, get, spirit, mom, christ, ill, said, ask, let, love, sin, say, someon, talk, thing, preach, whi, listen, know",0.0341410859831,0.018385674089,0.8,0.2,0.246978107037,0.587497337529,0.021686580565,0.0130533876649,0.0264521030458,0.00752814420885,0.0227916292562,0.00732094757925,0.0111195524553,0.675105148583,0.714864518516,Shepherd,4,4.15333333333,4,4.11538059358,4,4
336,DorothyDay_test26,5,13.4001300335,"poverti, room, retreat, parish, tenement, ask, door, prison, worker, talk, farm, thank, poor, bill, spoke, too, wheat, mexican, cook, morn",0.0264574912784,0.0228926803019,0.8,0.2,0.283134971668,0.71074352651,0.0128855601192,0.00136909076266,0.0170733671579,0.0108721913506,0.0124023516147,0.00330192478054,0.00942256583716,0.739754005374,0.690483687972,DorothyDay,4,3.58666666667,4,4.76605872713,4,4
273,WBC_test8,5,18.3589291573,"shall, unto, lord, armor, christ, thou, belov, thi, god, thing, say, righteous, wit, sin, truth, sermon, gospel, hell, hath, judgment",0.0252309608797,0.0278016603811,0.6,0.4,0.406903791171,0.606224708241,0.0223211704158,0.0119123344706,0.0137049673278,0.0164228300468,0.0193720002313,0.000693922396345,0.00873185682068,0.696804523278,0.800152223336,WBC,1,1.32333333333,1,1.38982599306,1,1
327,WBC_test13,5,17.2270629406,"thi, unto, thou, mock, shall, worship, psalm, judgment, god, thing, testimoni, sermon, baptist, idolatri, let, precept, idol, christ, thee, statut",0.0244708681898,0.0216914618459,0.8,0.2,0.471415733316,0.778653494253,0.0165956913828,0.0102079158317,0.0299348697395,0.0182239478958,0.0187875751503,6.2625250501e-05,0.0106462925852,0.703206301477,0.567888623632,WBC,1,2.46666666667,1,5.13896628785,4,4
116,Shepherd_test22,5,14.6980419159,"get, wisdom, ask, bless, christ, say, fear, want, evil, don, love, ill, god, lord, pay, know, prayer, someth, let, boss",0.0409260711781,0.0224272352905,1.0,0.0,0.323031297873,0.655621433751,0.020842539402,0.0194432169686,0.0230519958757,0.00927971718957,0.0248932096038,0.0037560760053,0.0128148475475,0.645948457547,0.530773334337,Shepherd,4,3.99,4,4.04681790699,4,4
656,Rabbinic_test7,5,11.8895950317,"convers, get, rabbi, let, want, torah, moment, jew, jewish, should, know, hope, congreg, choic, mose, talmud, israel, will, judaism, happen",0.0183681391561,0.017674043426,0.6,0.4,0.42614472318,0.765428736439,0.0252248910322,0.00816099415747,0.0190114068441,0.00574979133822,0.00537883705833,0.00222572567931,0.0143744783455,0.721635477919,0.602105653471,Rabbinic,6,6.00333333333,6,6.29942039629,6,6
7,PastorAnderson_test7,5,53.194947958,"say, shall, vers, bibl, jesus, unto, save, revel, christ, look, chapter, get, whi, talk, don, god, let, sin, know, thing",0.0235464593989,0.0263588658946,0.2,0.8,0.29700112864,0.53378521314,0.012404992024,0.0173970160458,0.0126489631228,0.0157455193769,0.030871727503,0.000769447311626,0.0189734446842,0.776274655253,0.777071322069,PastorAnderson,2,2.28333333333,1,2.59081218003,2,2
117,Shepherd_test40,5,16.6385030746,"sin, thank, christ, don, ask, get, pray, god, want, know, grace, say, cowboy, said, preacher, save, didn, let, prayer, better",0.0298397860868,0.0225094792951,0.8,0.2,0.240060755846,0.557522587962,0.0163944965925,0.0174231708885,0.0274527452745,0.0131798894175,0.021344991642,0.00649350649351,0.00938665295101,0.695015711839,0.638287087803,Shepherd,4,3.96333333333,4,4.12303924424,4,4
453,DorothyDay_test32,5,12.135571003,"get, destitut, worker, job, tax, dollar, talk, room, kitchen, tri, night, too, maurin, stay, paid, poor, pay, got, poverti, look",0.0226273109991,0.0211108659107,0.4,0.6,0.275035170842,0.730207088451,0.0196202531646,0.00216998191682,0.0161844484629,0.0106690777577,0.00994575045208,0.0114828209765,0.00895117540687,0.770352312658,0.629252013153,DorothyDay,4,4.31333333333,4,4.04638541072,4,4
126,Shepherd_test23,5,16.6825520992,"christ, get, jesus, god, ask, pray, bless, love, don, know, said, want, let, too, ill, think, everyth, kind, whi, someth",0.0310928618386,0.0242956446612,0.8,0.2,0.29253726761,0.630653345136,0.0235424546759,0.0194991522108,0.0198904395461,0.00815181948611,0.0244554584583,0.005282379027,0.0114125472806,0.687788861603,0.650203888033,Shepherd,4,4.0,4,4.0113108625,4,4
356,DorothyDay_test16,5,11.8612399101,"prison, get, moscow, christma, visit, room, worker, talk, morn, lenin, grave, kremlin, woman, too, look, walk, snow, know, fascism, joy",0.027441575764,0.0252770308771,0.6,0.4,0.312396901563,0.719748435079,0.0144086826347,0.0030875748503,0.0207709580838,0.00795284431138,0.0132859281437,0.00430389221557,0.0096369760479,0.701571234099,0.622497764041,DorothyDay,4,4.24,4,4.99768800182,4,4
472,DorothyDay_test5,5,6.43327498436,"worker, love, messag, too, prison, maurin, cathol, say, talk, christ, joy, thing, summari, ddlw, quot, hear, room, tell, labor, peter",0.0262611055222,0.0271489601874,0.6,0.4,0.354889568131,0.631554281289,0.0205962059621,0.00252935862692,0.00776874435411,0.00993676603433,0.016982836495,0.00271002710027,0.0128274616079,0.725060289107,0.602822960955,DorothyDay,4,4.07666666667,4,3.77662101687,4,4
406,DorothyDay_test36,5,11.0781338215,"worker, ammon, get, labor, talk, hour, mill, job, fellow, priest, night, door, farm, cathol, want, street, knew, pay, parish, bless",0.0251983279411,0.0166646897639,0.8,0.2,0.296234230332,0.66600249066,0.0105888174171,0.0046511627907,0.0135576447303,0.014151410193,0.0269173676398,0.0041563582385,0.00851063829787,0.768654670909,0.659306373495,DorothyDay,4,3.36,8,4.00138072595,4,4
