,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,15.4880211353,"s, christ, get, don, god, want, know, someth, wrath, thank, ill, preach, t, said, drink, thing, someon, jesus, ask, i",0.0342227143806,0.028425249691,0.8,0.2,0.0743630461476,0.569800241389,0.678989918983,0.667808520514,Shepherd,4,3.8,4.02795239775
4,Shepherd_test9,10,14.7506759167,"s, don, get, t, want, ill, ask, said, worship, god, know, anger, go, christ, love, i, let, thank, thing, better",0.0343236631672,0.025018495427,0.6,0.4,0.0514246941592,0.581253132012,0.665424703362,0.628363216926,Shepherd,4,4.0,4.04088981574
5,Shepherd_test0,10,16.0685830116,"s, want, ill, said, don, get, god, ask, go, t, christ, think, say, pray, i, preacher, know, do, lord, whi",0.0349518524303,0.0218338793689,0.8,0.2,0.07099020153,0.600437333983,0.6586396036,0.725901332945,Shepherd,4,4.0,4.18694439508
8,Shepherd_test10,10,15.2220671177,"s, get, don, christ, want, whi, sin, know, go, said, god, t, ask, look, heaven, friend, i, will, do, someth",0.0306252855932,0.019830683833,0.8,0.2,0.0569156511069,0.622452110833,0.634237252354,0.661001458375,Shepherd,4,4.0,3.81554113408
14,Shepherd_test20,10,15.5195939541,"s, don, get, want, t, let, god, ask, grace, thing, know, said, hope, ill, heaven, job, wisdom, pray, i, spirit",0.0397230003532,0.022599447123,0.8,0.2,0.0669286895107,0.584030749573,0.698033067871,0.687428334094,Shepherd,4,4.0,4.30663257899
15,Shepherd_test6,10,14.9286718369,"s, don, sin, get, christ, ask, jesus, god, t, know, testimoni, thing, want, said, ill, say, love, preacher, tell, preach",0.0273294203937,0.0263688259349,0.6,0.4,0.075466141489,0.615625153394,0.712071470501,0.656616748058,Shepherd,4,3.6,3.78355601431
20,Shepherd_test16,10,15.5251529217,"s, get, don, christ, want, grace, t, god, sin, thing, said, ask, i, know, talk, love, ill, rememb, let, think",0.0333115016427,0.0221691175084,0.8,0.2,0.0495806285763,0.581224201405,0.691257631307,0.616944634188,Shepherd,4,4.0,3.97486799833
22,Shepherd_test19,10,15.0613391399,"s, don, ask, lord, preacher, ill, get, let, fear, trust, must, want, christ, said, t, know, i, love, thing, god",0.0330373512647,0.0240601359018,1.0,0.0,0.0819180057075,0.64936747799,0.659564138481,0.605459018841,Shepherd,4,4.0,4.38574282341
29,Shepherd_test14,10,14.5531220436,"s, don, get, t, ask, christ, ill, said, heaven, better, want, i, thing, satan, didn, know, say, god, repli, ve",0.0336335511919,0.0213123560087,0.9,0.1,0.0595286545208,0.575647153834,0.646075707975,0.673702170381,Shepherd,4,4.0,4.11528510289
30,Shepherd_test4,10,14.4517230988,"s, get, rememb, christ, want, ask, don, sin, said, ill, t, go, god, i, know, jesus, thing, joy, whi, talk",0.030871200369,0.0207309995722,0.8,0.2,0.0574776129694,0.595688999695,0.612824050522,0.626938669022,Shepherd,4,4.0,3.96883707309
