,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
44,ISIS_train2,10,30.143830061,"allah, ibn, crusad, faction, alayhi, sallam, prophet, sallallāhu, murji'ah, hypocrit, kufr, plot, rahimahullāh, said, apost, dabiq, sahwah, messeng, abandon, irjā",0.0123638671585,0.0245401750241,0.0,1.0,0.321908842549,0.632784478381,0.00377714825307,0.00636519427832,0.00391704263281,0.0238170181513,0.0155632497464,0.0,0.0088832931137,0.821145155874,0.718616917964,ISIS,1,1.18666666667,1,1.83385938871,1
51,Unitarian_test1,10,29.047121048,"bread, know, tell, unitarian, ask, feel, let, realli, get, worth, too, christma, want, love, talk, silenc, knew, universalist, voic, think",0.0273375797738,0.0221825171279,0.6,0.4,0.209502697666,0.629976720682,0.0171673819742,0.00897034373429,0.0253257549395,0.0115222518656,0.0100916367011,0.00726907164675,0.0100143061516,0.699819333156,0.640281265341,Unitarian,7,5.93666666667,7,6.39985162874,7
34,IntegralYoga_train4,10,13.2398920059,"mind, yoga, gurudev, sri, happi, want, arjuna, know, get, swami, fruit, medit, will, spiritu, everyth, feel, say, krishna, don't, let",0.0275038611721,0.0148956586048,0.8,0.2,0.388759529596,0.708454346053,0.0196811971373,0.0285458685751,0.00878334417697,0.00829538061158,0.0130123617437,0.00170787247885,0.0130123617437,0.670705202315,0.58969082516,IntegralYoga,6,5.57,6,5.73582371736,6
42,ISIS_train4,8,37.5823011398,"allah, ibn, tandhīm, abū, alayhi, sallam, sallallāhu, ribāt, jihād, shām, messeng, said, umar, ask, inde, mujāhidīn, rahimahullāh, waziristan, dabiq, arena",0.0172848626591,0.0210261558289,0.375,0.625,0.430525470745,0.769438272192,0.00681918819188,0.00876752767528,0.00732103321033,0.0177712177122,0.0170627306273,0.000472324723247,0.0114243542435,0.764103900053,0.691944355722,ISIS,1,1.24333333333,1,1.44819487292,1
52,Rabbinic_test0,10,24.1861400604,"rabbi, know, kaplan, jew, evil, koufax, ask, kippur, yom, god, netanyahu, moment, steinberg, jewish, let, bless, esther, hyphen, tell, want",0.0211386587213,0.0199231260901,0.7,0.3,0.369981997857,0.745190817907,0.0258443867086,0.00774875791969,0.0121701080268,0.00638133005151,0.0126714982451,0.00337298874151,0.0130361456766,0.71754654926,0.711900013583,Rabbinic,6,5.72333333333,6,5.41623776605,6
31,WBC_train3,10,29.7414758205,"unto, shall, sin, mose, god, lord, thou, belov, pharaoh, wit, hath, obama, let, love, puritan, thi, say, thing, thee, christ",0.0296440513803,0.0267862268011,0.7,0.3,0.403213097133,0.548180424464,0.00804696943533,0.0083577965809,0.0110516318425,0.0118114315317,0.024348126403,0.000587117941634,0.00815057848385,0.75414265835,0.729539170482,WBC,1,5.05333333333,1,2.77436136061,1
18,JohnPiper_train2,10,25.7095341682,"vers, christ, god, hope, say, exult, thing, let, whi, glori, faith, know, husband, boast, sin, promis, grace, lord, etern, love",0.0321121498452,0.0220351197999,0.7,0.3,0.444785916497,0.675262855013,0.0270970312811,0.0170153417015,0.0139868499701,0.00581789201036,0.0180912532377,0.00191273161984,0.0112372982666,0.706428767887,0.657702681163,JohnPiper,4,4.66,4,4.57713762542,4
24,NaumanKhan_test1,10,37.086938858,"allah, know, say, someth, get, don't, qur'an, talk, thing, want, surah, realli, tell, bee, whi, merci, ask, you'r, happen, quran",0.0187942033351,0.0154017755255,0.8,0.2,0.510388179204,0.77279696173,0.017945139146,0.0351781695958,0.0162930469707,0.0158942661008,0.0188281539294,0.000883014783377,0.0202238869741,0.62795489649,0.57300630095,NaumanKhan,3,3.40666666667,3,3.35077499652,3
17,JohnPiper_test0,10,28.118724823,"christ, vers, say, gospel, god, sin, let, salvat, fill, shame, jesus, asham, glori, fear, thing, joy, faith, perfect, will, paul",0.0300807685546,0.0317657329875,0.4,0.6,0.465408812811,0.674460543279,0.0170822126917,0.0206440357636,0.0101766373483,0.00672384967653,0.0235879915679,0.00145380533547,0.0115940975503,0.668895605558,0.653806590806,JohnPiper,4,4.67333333333,4,3.13885932565,4
26,NaumanKhan_train2,10,61.1522228718,"allah, get, say, know, talk, want, thing, don't, apo, someth, quran, realli, happen, let, gon, quot, messeng, guy, deen, got",0.0220225961757,0.0153676859183,0.9,0.1,0.479037399825,0.759996840708,0.0135556386826,0.0342186358859,0.0160494486899,0.0194339051283,0.0192023370562,0.0015853506475,0.0143750333992,0.707576119474,0.698513371929,NaumanKhan,3,2.37666666667,2,2.62163207818,2
38,MehrBaba_test1,10,12.9669349194,"meher, baba, love, mind, perfect, finit, want, spiritu, mediocr, discipl, conscious, avatar, feel, self, master, heart, god, sadguru, spirit, done",0.0408573051753,0.0144991302576,1.0,0.0,0.441928339366,0.73032743002,0.0062237310055,0.0162463627546,0.00444552214678,0.0109117361785,0.0293404461688,8.08276753961e-05,0.0183478823149,0.75760203194,0.647763448246,MehrBaba,8,6.31,8,5.81986729596,8
48,Unitarian_train3,10,42.5948560238,"sing, evil, unitarian, know, garden, want, congreg, thing, let, say, love, ask, get, everyon, hope, feel, someth, tell, realli, talk",0.026090698041,0.023365198628,0.8,0.2,0.247657956686,0.67817484651,0.0209551390634,0.00953499808754,0.0243975739031,0.00961696082181,0.00964428173324,0.00398885306814,0.0108190809245,0.698494128843,0.80214908095,Unitarian,7,5.31333333333,4,5.37859377971,7
