,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
7,Shepherd_test46,3,6.87195086479,"rememb, want, attitud, hope, don, get, pay, ill, know, think",0.0277981909308,0.0257502504109,1.0,0.0,140.666666667,0.625186227333,0.702622396855,0.607854606705,Shepherd,4,4.34708593115,3.88542216269
8,Shepherd_test52,3,7.75001001358,"s, burden, don, ask, get, t, know, lord, bless, said",0.0317282342399,0.0294356353438,0.666666666667,0.333333333333,177.333333333,0.571274565235,0.750355505451,0.623503709126,Shepherd,4,3.99873417722,4.00888975196
9,Shepherd_test42,3,7.49277019501,"s, idl, jesus, don, want, t, said, sin, scriptur, say",0.0216484740108,0.0207104021699,0.666666666667,0.333333333333,159.333333333,0.517526205451,0.741278224156,0.72345490654,Shepherd,4,4.63546186208,3.75700513959
10,Shepherd_test7,3,7.10694503784,"s, love, get, know, obey, god, ask, jesus, happi, lord",0.0313288757609,0.0205178406233,1.0,0.0,142.0,0.645149639585,0.7382274474,0.553637772847,Shepherd,4,4.81439168423,4.18236821359
20,Shepherd_test51,3,6.61751794815,"know, bless, mom, get, dont, god, say, will, ill, ask",0.0338422522541,0.016559324075,1.0,0.0,117.666666667,0.757993113625,0.748568026664,0.57679194421,Shepherd,4,5.05210888809,4.87526838721
21,Shepherd_test37,3,7.89494895935,"s, get, don, go, ask, dad, ill, lover, want, t",0.0328743910828,0.0227886731206,0.666666666667,0.333333333333,161.0,0.637113778394,0.731379602436,0.531886173012,Shepherd,4,4.53545930625,4.03882536151
22,Shepherd_test22,3,8.18308901787,"christ, s, don, pray, preacher, get, want, prayer, preach, t",0.0338597570882,0.0169317486747,1.0,0.0,205.0,0.57993417821,0.741923986762,0.623430536203,Shepherd,4,4.05925068196,4.07203127274
24,Shepherd_test0,3,7.72595214844,"christ, ask, bless, s, know, god, get, don, jesus, thing",0.0342230188434,0.0170610999879,1.0,0.0,157.333333333,0.647637293924,0.732069973451,0.690492023139,Shepherd,4,4.47426434676,4.04029502647
25,Shepherd_test48,3,9.06181406975,"s, sin, get, wait, ask, don, lose, heaven, want, christ",0.0337905614687,0.0226262050621,0.666666666667,0.333333333333,200.333333333,0.654602378949,0.744581332649,0.653166674814,Shepherd,4,4.77876984127,4.05877699106
26,Shepherd_test11,3,7.88128018379,"s, christ, don, know, prais, get, evil, want, wisdom, ask",0.0421817017455,0.0217381213806,1.0,0.0,177.333333333,0.50353819788,0.738915584419,0.512668964039,Shepherd,4,3.74619545282,4.05637209728
30,Shepherd_test67,3,7.23729205132,"s, friend, don, love, get, know, t, tell, said, someon",0.0419840163588,0.020759422365,1.0,0.0,168.333333333,0.535676790522,0.772973695583,0.702710634072,Shepherd,4,4.13952508902,3.83654683932
35,Shepherd_test15,3,8.35578298569,"sin, rememb, s, get, look, love, bless, christ, want, don",0.0303697214267,0.0250762407031,0.666666666667,0.333333333333,182.666666667,0.642934749045,0.687668116693,0.688008249546,Shepherd,4,4.59630252101,4.15451031404
37,Shepherd_test23,3,7.41890192032,"s, christ, get, want, judgment, too, kind, know, god, don",0.0320781184312,0.0196982957967,1.0,0.0,176.666666667,0.649535210896,0.737660301771,0.694923227056,Shepherd,4,4.57211262554,4.16488856557
39,Shepherd_test39,3,7.90427017212,"s, don, lord, fear, get, whi, barrel, christ, t, know",0.0309380305869,0.0226677827175,0.666666666667,0.333333333333,183.0,0.576856031596,0.757301144838,0.609364099626,Shepherd,4,3.77526452564,4.15959978747
41,Shepherd_test53,3,9.15052294731,"grace, s, get, prayer, go, endur, love, thank, ask, god",0.0461840662927,0.017151723726,1.0,0.0,188.333333333,0.56084947666,0.739554568931,0.492024531531,Shepherd,4,4.07141284412,4.05985373168
49,Shepherd_test32,3,7.56895112991,"christ, s, spirit, preach, get, ask, thing, preacher, grace, encourag",0.0300012844694,0.0212001080305,1.0,0.0,145.333333333,0.65178814603,0.769531987182,0.604317036773,Shepherd,4,5.02078271813,4.28458213187
51,Shepherd_test27,3,8.42528104782,"wisdom, get, s, burden, fear, said, say, happen, car, judg",0.0317556625192,0.0338158931407,0.333333333333,0.666666666667,156.666666667,0.627688323218,0.685472951017,0.568305347626,Shepherd,4,4.4,4.51731366939
58,Shepherd_test20,3,7.75398302078,"christ, s, preacher, want, spirit, god, preach, t, don, noth",0.0345401108589,0.0153555945676,1.0,0.0,152.333333333,0.579543936076,0.749155146855,0.49065748115,Shepherd,4,4.07141284412,4.13443572163
62,Shepherd_test44,3,5.92021512985,"walk, don, s, someon, christ, t, love, accus, jesus, wrong",0.0319653048666,0.0260316637931,0.666666666667,0.333333333333,128.666666667,0.522507568082,0.717479476177,0.623232876074,Shepherd,4,4.03623417722,3.7777032297
