,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,ISIS_test2,3,16.3355929852,"allah, mubāhalah, ibn, yemen, emir, abū, wisdom, takfīr, kufr, ﻿, messeng, wa, adhdhawāhirī, “the, jawlānī, shaykh, ’s, said, statement, prophet",0.0153728896007,0.0263606867034,0.0,1.0,0.386159844055,0.227748048801,0.800674358569,0.00514210270308,0.00465568758252,0.00625390869293,0.0223056076715,0.0251546105205,0.0,0.0104231811549,0.682105006187,0.716481552189,ISIS,1,1.0,1.18412754927
3,ISIS_test1,3,11.5295250416,"allah, ibn, wa, faction, murji'ah, sallam, hypocrit, alayhi, rahimahullāh, sallallāhu, irjā, hypocrisi, kufr, prophet, abandon, said, ignor, prayer, numah, oblig",0.012097799052,0.028381703227,0.0,1.0,0.450032538268,0.150439973969,0.700709239925,0.00283156740957,0.00593715747168,0.00474972597735,0.0265801972963,0.019820971867,0.0,0.00931677018634,0.710505800631,0.775331830753,ISIS,1,1.0,0.84167785993
5,ISIS_test4,3,10.719397068,"allah, ibn, jihād, wa, sallallāhu, sallam, alayhi, said, rahimahullāh, abandon, ﻿, prophet, radiyallāhu, slavegirl, ask, messeng, repli, hijrah, abū, khilāfah",0.0171557315201,0.0242334920474,0.0,1.0,0.330512735298,0.18054383857,0.694267624477,0.00677476677032,0.0145490892936,0.00821856952466,0.0258773878276,0.0302087960906,0.00211017325633,0.00966237227899,0.759036864654,0.629408604864,ISIS,1,1.3,0.973049330273
9,ISIS_test0,3,9.60566020012,"allah, dollar, ’s, wa, messeng, alayhi, sallam, ibn, inde, sallallāhu, ﻿, currenc, advic, said, fear, ask, don't, ta'ālā, enemi, let",0.0299751186377,0.0245551391777,0.666666666667,0.333333333333,0.380430871448,0.213381361082,0.639827838825,0.00407640344747,0.0197996738877,0.00570696482646,0.0153738644305,0.0137433030515,0.000232937339856,0.0157232704403,0.675794359948,0.623170958694,ISIS,1,1.5,3.62379639336
14,ISIS_test3,3,9.9608900547,"allah, kuffār, mujāhidīn, conspiraci, crusad, ﻿, wa, abū, jihād, khilāfah, banner, tunisia, libya, apost, kufr, alayhi, kāfir, dābiq, dabiq, shām",0.0138652204667,0.0249375779617,0.0,1.0,0.467162081882,0.123487443549,0.744615407121,0.0076803205699,0.00845948352627,0.00478628673197,0.0254897595726,0.0103517364203,0.0,0.0076803205699,0.821283974714,0.66109521947,ISIS,1,1.0,1.30123916687
16,Rabbinic_test4,3,7.3942668438,"torah, paint, moment, tell, ask, hope, choos, jew, courag, gogh, ourselv, van, want, know, look, intent, gift, sinai, understood, rabbi",0.019641327669,0.0180346462519,0.333333333333,0.666666666667,0.344843537415,0.157105180534,0.768815803244,0.0364917776038,0.00971025841817,0.014408770556,0.0103367267032,0.00736100234926,0.000783085356304,0.0133124510572,0.76910159781,0.661652319724,Rabbinic,6,5.2,4.9900315199
20,Rabbinic_test2,3,7.14016294479,"bibl, rememb, jewri, yizkor, jew, happen, rabbi, am, golda, synagogu, moment, jewish, memori, awar, eat, yar, know, too, forget, babi",0.0179979901061,0.0173418155273,0.333333333333,0.666666666667,0.491415630134,0.283811275486,0.705436036342,0.0250354274917,0.00944733112896,0.013698630137,0.00598330971501,0.00377893245158,0.00110218863171,0.0130688080617,0.683466146276,0.792136804224,Rabbinic,6,6.2,5.20574101197
24,Rabbinic_test1,3,5.98154401779,"netanyahu, mose, jew, israelit, judaism, diaspora, jewish, rabbi, “what, moment, hirsch, ask, prepar, sacrific, must, sukkot, festiv, question, israel, nor",0.0203643466223,0.0162441411543,1.0,0.0,0.506763715587,0.197425232719,0.707570098747,0.0246371275783,0.00420168067227,0.00496562261268,0.0103132161956,0.0122230710466,0.000954927425516,0.0131779984721,0.682379991457,0.629646725525,Rabbinic,6,6.0,5.46649752684
26,Rabbinic_test5,3,6.09293794632,"evil, mose, eichmann, amalek, know, ourselv, happen, abnorm, am, too, basebal, amalekut, i, absolut, acknowledg, inevit, adam, colleagu, arendt, goe",0.0185058065413,0.0233483441444,0.666666666667,0.333333333333,0.51070425264,0.193737118654,0.761217836301,0.0239121912975,0.0111720893767,0.0203841630733,0.0031360250882,0.0113680909447,0.00137201097609,0.0133281066249,0.682386660959,0.565197734859,Rabbinic,6,6.1,6.59978323299
28,Rabbinic_test0,3,6.97714591026,"jew, jewish, get, rabbi, moment, everyon, mose, know, promis, abraham, synagogu, whi, chosen, peoplehood, anyth, “this, am, too, want, choos",0.0247115321878,0.0159753243492,0.666666666667,0.333333333333,0.514581562962,0.294679969366,0.802602838888,0.0235213908301,0.0107380262485,0.0163627066644,0.00971535708198,0.0102266916652,0.00289756263849,0.0148287029146,0.741647979176,0.600206012064,Rabbinic,6,6.1,5.84436255837
30,Rabbinic_test3,3,7.91478896141,"keter, bless, sibl, rabbi, deed, know, esau, ask, bad, maimonid, wrong, jacob, aleppo, choic, aumann, sit, want, hurt, save, judg",0.0224802490159,0.0182444771473,0.666666666667,0.333333333333,0.368689126151,0.211240033239,0.752438793989,0.0303418803419,0.0125356125356,0.0149572649573,0.00598290598291,0.00626780626781,0.0048433048433,0.0125356125356,0.696352549783,0.647098281045,Rabbinic,6,5.6,6.52653278686
34,IntegralYoga_test3,3,3.11063885689,"mind, fruit, know, don't, everyth, am, tree, anyth, let, happen, expect, yoga, sit, happi, vibrat, medit, will, peac, disturb, “i",0.0278007914957,0.0167919949031,1.0,0.0,0.479959069582,0.0503037693065,0.735606611617,0.00654817586529,0.0724976613658,0.00935453695042,0.00841908325538,0.000467726847521,0.000467726847521,0.0177736202058,0.69924401555,0.639847280334,IntegralYoga,6,5.4,5.1353906237
35,IntegralYoga_test1,3,3.76052904129,"guru, want, yogavill, don't, guidelin, mind, know, get, discipl, whi, selfish, feel, yoga, smoke, am, should, anyth, self, teacher, everyth",0.0332595080203,0.0189584531121,1.0,0.0,0.375721315721,0.053263033263,0.666648166648,0.0106082036775,0.0548090523338,0.011315417256,0.00848656294201,0.00884016973126,0.00176803394625,0.0134370579915,0.679057444256,0.705233149829,IntegralYoga,6,5.0,4.67928971324
38,IntegralYoga_test2,3,5.34474301338,"medit, mind, yoga, want, get, someth, sit, whi, don't, money, limb, sleep, should, will, realli, thing, rockefel, let, devot, if",0.0312778878021,0.0182969386011,1.0,0.0,0.470432127042,0.0253453453453,0.769925179417,0.019464163041,0.0581634989695,0.00595374398901,0.00618273414243,0.00595374398901,0.00183192122739,0.0171742615068,0.761418301639,0.714524889072,IntegralYoga,6,5.3,4.89934556898
40,IntegralYoga_test0,3,4.51242280006,"gurudev, sri, want, yoga, happi, joy, wisdom, steadi, everyth, dedic, ask, krishna, excit, whi, don't, mind, peac, know, noth, sage",0.0374508208206,0.0122253086056,1.0,0.0,0.331217149493,0.0928447011368,0.679027624985,0.00899708917703,0.0195818999735,0.00846784863721,0.0129663932257,0.0174649378142,0.00238158242921,0.0108494310664,0.616028346954,0.664215136361,IntegralYoga,6,4.8,5.11606505349
46,IntegralYoga_test4,3,4.60410904884,"breath, prana, feel, happi, inhal, pranayama, mind, exhal, god, yoga, pure, selfish, oxygen, whatev, cosmic, realiz, visual, heart, uniti, get",0.0287473963296,0.0204854110874,0.666666666667,0.333333333333,0.421603215495,0.0579808930872,0.570612089118,0.0233039875712,0.045054375971,0.00258933195236,0.00258933195236,0.00103573278094,0.0,0.0124287933713,0.720397699017,0.671844418573,IntegralYoga,6,5.3,5.31333848983
