"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
195,129,126,206,150,132,205,40,183,181
170,115,148,33,21,59,46,49,120,199
138,114,1,37,198,225,43,144,219,7
222,155,197,178,5,13,90,153,6,204
213,160,64,133,11,73,182,102,30,57
177,189,91,165,210,134,55,202,45,101
4,47,217,174,110,16,187,141,220,223
162,63,104,105,48,53,87,92,88,172
188,224,54,72,29,143,103,44,167,137
140,146,127,191,38,82,131,135,41,171
51,75,50,228,25,58,9,158,3,31
203,179,106,35,201,211,83,68,124,173
81,17,125,12,119,164,14,70,207,74
175,15,19,130,216,97,78,151,186,157
76,108,39,95,194,93,109,60,122,113
112,218,18,156,89,161,196,2,42,NA
