"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"44",0,0,0,1,0,0,0,0,0
"119",0,1,0,0,0,0,0,0,0
"61",0,0,1,0,0,0,0,0,0
"131",0,0,0,1,0,0,0,0,0
"139",0,0,0,0,1,0,0,0,0
"7",1,0,0,0,0,0,0,0,0
"77",1,0,0,0,0,0,0,0,0
"129",0,0,1,0,0,0,0,0,0
"79",1,0,0,0,0,0,0,0,0
"65",0,0,0,1,0,0,0,0,0
"135",0,0,0,0,0,0,1,0,0
"64",0,0,1,0,0,0,0,0,0
"95",0,0,0,1,0,0,0,0,0
"80",1,0,0,0,0,0,0,0,0
"15",1,0,0,0,0,0,0,0,0
"123",1,0,0,0,0,0,0,0,0
"34",0,0,1,0,0,0,0,0,0
"6",1,0,0,0,0,0,0,0,0
"151",0,0,1,0,0,0,0,0,0
"126",0,0,1,0,0,0,0,0,0
"117",0,1,0,0,0,0,0,0,0
"91",0,1,0,0,0,0,0,0,0
"83",0,1,0,0,0,0,0,0,0
"128",0,0,0,1,0,0,0,0,0
"84",0,1,0,0,0,0,0,0,0
"90",0,1,0,0,0,0,0,0,0
"69",0,1,0,0,0,0,0,0,0
"74",1,0,0,0,0,0,0,0,0
"36",0,0,0,0,1,0,0,0,0
"18",0,1,0,0,0,0,0,0,0
"148",0,0,1,0,0,0,0,0,0
"109",0,0,0,1,0,0,0,0,0
"144",0,0,1,0,0,0,0,0,0
"94",1,0,0,0,0,0,0,0,0
"3",1,0,0,0,0,0,0,0,0
"56",0,1,0,0,0,0,0,0,0
"88",0,1,0,0,0,0,0,0,0
"25",1,0,0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0,1,0
"26",1,0,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0
"46",0,0,1,0,0,0,0,0,0
"110",0,0,0,0,1,0,0,0,0
"40",0,0,0,1,0,0,0,0,0
"17",1,0,0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,1,0
"114",1,0,0,0,0,0,0,0,0
"49",0,0,1,0,0,0,0,0,0
"28",0,0,1,0,0,0,0,0,0
"115",0,1,0,0,0,0,0,0,0
"5",1,0,0,0,0,0,0,0,0
"45",0,0,1,0,0,0,0,0,0
"138",0,0,0,0,0,1,0,0,0
"12",0,1,0,0,0,0,0,0,0
"55",0,1,0,0,0,0,0,0,0
"20",1,0,0,0,0,0,0,0,0
"13",0,1,0,0,0,0,0,0,0
"71",0,0,0,0,1,0,0,0,0
"127",0,0,1,0,0,0,0,0,0
"35",0,0,0,1,0,0,0,0,0
"149",0,0,1,0,0,0,0,0,0
"9",1,0,0,0,0,0,0,0,0
"92",0,1,0,0,0,0,0,0,0
"105",0,0,1,0,0,0,0,0,0
"118",0,1,0,0,0,0,0,0,0
"39",0,0,1,0,0,0,0,0,0
"125",1,0,0,0,0,0,0,0,0
"85",0,1,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,1,0,0
"37",0,0,1,0,0,0,0,0,0
"62",0,0,0,0,1,0,0,0,0
"51",0,0,0,0,1,0,0,0,0
"57",0,1,0,0,0,0,0,0,0
"1",1,0,0,0,0,0,0,0,0
"82",0,0,1,0,0,0,0,0,0
"107",0,0,0,0,0,1,0,0,0
"29",0,0,1,0,0,0,0,0,0
"120",1,0,0,0,0,0,0,0,0
"112",0,0,1,0,0,0,0,0,0
"132",0,0,0,0,1,0,0,0,0
"122",1,0,0,0,0,0,0,0,0
"47",0,0,0,0,1,0,0,0,0
"75",1,0,0,0,0,0,0,0,0
"54",1,0,0,0,0,0,0,0,0
"146",0,0,1,0,0,0,0,0,0
"93",0,1,0,0,0,0,0,0,0
"142",0,0,1,0,0,0,0,0,0
"58",0,0,1,0,0,0,0,0,0
"116",0,0,1,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0
"8",1,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,1,0,0
"21",1,0,0,0,0,0,0,0,0
"86",0,1,0,0,0,0,0,0,0
"19",1,0,0,0,0,0,0,0,0
"81",1,0,0,0,0,0,0,0,0
"133",0,0,0,0,0,0,1,0,0
"134",0,0,0,0,0,1,0,0,0
"102",0,1,0,0,0,0,0,0,0
"27",0,0,1,0,0,0,0,0,0
"31",0,0,1,0,0,0,0,0,0
"76",1,0,0,0,0,0,0,0,0
"24",1,0,0,0,0,0,0,0,0
"124",1,0,0,0,0,0,0,0,0
"23",1,0,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0
"42",0,0,0,0,1,0,0,0,0
"52",0,0,1,0,0,0,0,0,0
"87",0,1,0,0,0,0,0,0,0
"67",0,0,0,0,1,0,0,0,0
"140",0,0,1,0,0,0,0,0,0
"147",0,0,1,0,0,0,0,0,0
"121",0,1,0,0,0,0,0,0,0
"145",0,0,1,0,0,0,0,0,0
"97",0,0,1,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,1
"96",0,0,0,1,0,0,0,0,0
"33",0,0,0,0,1,0,0,0,0
"89",0,1,0,0,0,0,0,0,0
"60",0,0,0,1,0,0,0,0,0
