"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"2",0,0,1,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0
"10",0,0,0,1,0,0,0,0,0
"13",0,0,1,0,0,0,0,0,0
"21",0,0,1,0,0,0,0,0,0
"29",0,0,1,0,0,0,0,0,0
"32",0,0,1,0,0,0,0,0,0
"39",0,0,0,1,0,0,0,0,0
"41",0,0,1,0,0,0,0,0,0
"47",1,0,0,0,0,0,0,0,0
"49",1,0,0,0,0,0,0,0,0
"51",1,0,0,0,0,0,0,0,0
"57",0,0,0,1,0,0,0,0,0
"58",0,0,0,0,0,0,1,0,0
"59",0,0,0,0,1,0,0,0,0
"71",0,1,0,0,0,0,0,0,0
"72",0,1,0,0,0,0,0,0,0
"75",0,0,0,0,1,0,0,0,0
"87",1,0,0,0,0,0,0,0,0
"95",0,0,1,0,0,0,0,0,0
"101",0,1,0,0,0,0,0,0,0
"102",0,1,0,0,0,0,0,0,0
"104",1,0,0,0,0,0,0,0,0
"124",1,0,0,0,0,0,0,0,0
"131",1,0,0,0,0,0,0,0,0
"135",0,0,0,1,0,0,0,0,0
"140",0,0,1,0,0,0,0,0,0
"143",0,0,0,0,0,0,1,0,0
"147",0,0,0,0,0,0,0,1,0
"148",0,0,0,0,0,1,0,0,0
