"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"43",0,1,0,0,0,0,0,0,0
"117",1,0,0,0,0,0,0,0,0
"61",0,1,0,0,0,0,0,0,0
"129",1,0,0,0,0,0,0,0,0
"137",0,0,1,0,0,0,0,0,0
"7",0,0,0,0,1,0,0,0,0
"76",0,0,1,0,0,0,0,0,0
"127",1,0,0,0,0,0,0,0,0
"78",0,0,1,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0
"133",1,0,0,0,0,0,0,0,0
"63",0,1,0,0,0,0,0,0,0
"93",0,0,0,1,0,0,0,0,0
"141",0,0,0,1,0,0,0,0,0
"14",0,0,0,0,1,0,0,0,0
"121",0,1,0,0,0,0,0,0,0
"33",0,0,1,0,0,0,0,0,0
"6",0,0,1,0,0,0,0,0,0
"149",0,0,0,0,1,0,0,0,0
"125",1,0,0,0,0,0,0,0,0
"115",1,0,0,0,0,0,0,0,0
"89",0,1,0,0,0,0,0,0,0
"82",0,0,1,0,0,0,0,0,0
"126",1,0,0,0,0,0,0,0,0
"142",0,0,0,0,1,0,0,0,0
"88",0,1,0,0,0,0,0,0,0
"67",0,1,0,0,0,0,0,0,0
"73",0,0,0,0,1,0,0,0,0
"35",0,0,1,0,0,0,0,0,0
"18",0,0,1,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,1,0
"107",1,0,0,0,0,0,0,0,0
"81",0,0,1,0,0,0,0,0,0
"145",0,0,0,0,0,0,1,0,0
"3",0,0,1,0,0,0,0,0,0
"55",0,0,0,0,0,1,0,0,0
"86",0,0,0,1,0,0,0,0,0
"25",0,1,0,0,0,0,0,0,0
"36",0,0,1,0,0,0,0,0,0
"26",1,0,0,0,0,0,0,0,0
"16",0,0,0,1,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0
"108",1,0,0,0,0,0,0,0,0
"40",0,0,0,1,0,0,0,0,0
"17",0,0,0,0,1,0,0,0,0
"15",0,0,1,0,0,0,0,0,0
"112",1,0,0,0,0,0,0,0,0
"48",1,0,0,0,0,0,0,0,0
"27",0,0,1,0,0,0,0,0,0
"113",1,0,0,0,0,0,0,0,0
"5",0,0,0,0,1,0,0,0,0
"44",1,0,0,0,0,0,0,0,0
"136",0,1,0,0,0,0,0,0,0
"12",0,0,0,0,1,0,0,0,0
"54",0,0,0,0,1,0,0,0,0
"20",0,0,0,0,1,0,0,0,0
"96",1,0,0,0,0,0,0,0,0
"70",0,1,0,0,0,0,0,0,0
"130",1,0,0,0,0,0,0,0,0
"34",0,0,1,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,1
"9",0,0,0,0,0,0,1,0,0
"90",0,1,0,0,0,0,0,0,0
"24",0,0,0,1,0,0,0,0,0
"92",0,0,0,1,0,0,0,0,0
"38",0,0,1,0,0,0,0,0,0
"68",0,0,1,0,0,0,0,0,0
"123",1,0,0,0,0,0,0,0,0
"65",0,1,0,0,0,0,0,0,0
"111",0,1,0,0,0,0,0,0,0
"128",0,1,0,0,0,0,0,0,0
"50",1,0,0,0,0,0,0,0,0
"114",1,0,0,0,0,0,0,0,0
"1",0,0,1,0,0,0,0,0,0
"80",0,0,0,0,1,0,0,0,0
"105",0,1,0,0,0,0,0,0,0
"28",0,0,1,0,0,0,0,0,0
"118",1,0,0,0,0,0,0,0,0
"103",0,1,0,0,0,0,0,0,0
"8",0,0,0,0,0,1,0,0,0
"74",0,0,1,0,0,0,0,0,0
"46",1,0,0,0,0,0,0,0,0
"122",0,1,0,0,0,0,0,0,0
"53",1,0,0,0,0,0,0,0,0
"144",0,0,0,0,0,1,0,0,0
"91",0,0,1,0,0,0,0,0,0
"138",0,0,0,1,0,0,0,0,0
"56",0,0,1,0,0,0,0,0,0
"77",0,0,0,1,0,0,0,0,0
"11",0,0,0,0,1,0,0,0,0
"85",0,0,1,0,0,0,0,0,0
"84",0,0,0,0,1,0,0,0,0
"94",0,0,1,0,0,0,0,0,0
"37",0,0,1,0,0,0,0,0,0
"120",0,1,0,0,0,0,0,0,0
"79",0,0,1,0,0,0,0,0,0
"42",1,0,0,0,0,0,0,0,0
"99",0,1,0,0,0,0,0,0,0
"100",0,0,1,0,0,0,0,0,0
"110",0,0,1,0,0,0,0,0,0
"30",0,0,1,0,0,0,0,0,0
"109",1,0,0,0,0,0,0,0,0
"23",0,0,1,0,0,0,0,0,0
"98",1,0,0,0,0,0,0,0,0
"22",0,0,0,1,0,0,0,0,0
"106",1,0,0,0,0,0,0,0,0
"83",0,0,0,0,1,0,0,0,0
"97",1,0,0,0,0,0,0,0,0
"69",0,1,0,0,0,0,0,0,0
"132",1,0,0,0,0,0,0,0,0
"62",0,0,1,0,0,0,0,0,0
"116",1,0,0,0,0,0,0,0,0
"119",1,0,0,0,0,0,0,0,0
"134",0,0,0,0,1,0,0,0,0
"66",0,1,0,0,0,0,0,0,0
"52",1,0,0,0,0,0,0,0,0
"19",0,0,0,1,0,0,0,0,0
"31",0,0,1,0,0,0,0,0,0
"139",0,0,1,0,0,0,0,0,0
