"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
507,246,518,701,348,696,705,687,528,598
464,684,578,216,336,602,73,451,688,304
586,395,345,22,502,540,697,102,621,638
676,726,341,39,301,614,213,61,161,257
624,125,318,151,225,94,209,680,690,152
280,639,409,25,101,515,179,188,623,589
206,397,147,163,613,677,292,652,10,99
533,343,308,43,324,45,191,184,388,506
418,478,13,529,164,617,546,224,641,468
65,637,229,525,128,389,241,340,710,492
482,150,382,658,312,333,651,87,575,441
141,215,632,476,264,497,376,399,402,370
662,117,24,291,353,226,294,127,48,656
115,238,236,405,489,230,486,263,693,349
21,516,480,635,171,220,261,118,260,219
105,449,51,576,547,649,527,522,207,256
7,490,198,520,326,305,153,165,453,338
674,223,182,244,681,537,394,41,423,663
201,364,650,91,720,455,590,342,77,727
362,197,176,556,708,20,459,570,109,421
28,310,26,633,607,691,293,32,200,593
410,648,279,495,659,702,92,612,457,444
445,436,628,594,511,98,695,384,619,38
80,573,433,122,711,195,67,391,323,606
16,233,282,314,93,618,175,100,275,210
390,669,47,472,149,642,713,81,17,145
481,588,371,208,258,721,148,79,211,202
550,283,11,75,714,585,113,158,534,235
183,68,398,640,413,426,531,596,373,564
622,83,709,185,143,37,347,500,645,74
180,365,563,724,253,217,678,76,278,54
9,237,110,414,23,155,682,355,694,644
31,412,653,368,600,361,627,580,249,484
19,675,437,616,380,95,567,59,626,329
375,133,259,592,289,131,725,493,439,187
315,565,231,579,668,692,154,403,8,64
71,321,134,190,357,227,132,610,372,535
119,514,29,450,192,243,463,88,392,491
107,193,417,477,454,70,430,434,396,366
44,717,218,636,703,420,470,440,706,435
406,657,442,425,111,55,126,427,170,557
172,643,474,2,62,496,667,718,166,352
46,603,173,634,138,387,78,177,591,344
443,408,296,524,240,274,270,316,446,571
401,49,379,36,60,358,722,555,272,513
553,290,625,569,203,242,335,298,306,483
288,268,501,317,325,719,462,221,5,302
597,3,178,611,559,728,135,367,320,136
14,124,458,510,587,615,673,162,620,322
50,168,250,400,605,566,532,199,583,252
144,330,465,196,228,35,58,186,475,NA
