term,freq,idf,logidf
1890,4,208.5,5.33993904124
writings,16,52.125,3.95364468012
starokonstantinov,1,834.0,6.72623340236
ancyra,1,834.0,6.72623340236
localizes,1,834.0,6.72623340236
census,46,18.1304347826,2.89759200587
foun,1,834.0,6.72623340236
yellow,5,166.8,5.11679548992
avignon,2,417.0,6.0330862218
four,97,8.59793814433,2.15152242386
morfologic,1,834.0,6.72623340236
7tree,1,834.0,6.72623340236
woods,4,208.5,5.33993904124
chrétien,1,834.0,6.72623340236
spiders,2,417.0,6.0330862218
seifer,1,834.0,6.72623340236
preface,2,417.0,6.0330862218
francesca,1,834.0,6.72623340236
genre,12,69.5,4.24132675257
corvids,1,834.0,6.72623340236
cyprus,8,104.25,4.64679186068
aggression,1,834.0,6.72623340236
kh,1,834.0,6.72623340236
looking,1,834.0,6.72623340236
geoffrey,2,417.0,6.0330862218
pardon,1,834.0,6.72623340236
granting,1,834.0,6.72623340236
electricity,4,208.5,5.33993904124
providenceri,1,834.0,6.72623340236
moisture,1,834.0,6.72623340236
funk,2,417.0,6.0330862218
crossbar,1,834.0,6.72623340236
inwards,2,417.0,6.0330862218
kwashiorkor,1,834.0,6.72623340236
dhabi,1,834.0,6.72623340236
sinking,2,417.0,6.0330862218
fy06,1,834.0,6.72623340236
digit,2,417.0,6.0330862218
kemet,1,834.0,6.72623340236
navigating,1,834.0,6.72623340236
ισμός,1,834.0,6.72623340236
ˈdɛnvɚ,1,834.0,6.72623340236
saskatchewan,4,208.5,5.33993904124
oceans,7,119.142857143,4.7803232533
trojan,2,417.0,6.0330862218
stipulate,1,834.0,6.72623340236
bratislava,1,834.0,6.72623340236
synthesizers,1,834.0,6.72623340236
hitchcock,2,417.0,6.0330862218
unify,1,834.0,6.72623340236
bringing,5,166.8,5.11679548992
venables,1,834.0,6.72623340236
callis,1,834.0,6.72623340236
markers,3,278.0,5.62762111369
pivs,1,834.0,6.72623340236
differentiated,1,834.0,6.72623340236
recollections,1,834.0,6.72623340236
internally,1,834.0,6.72623340236
scholar,5,166.8,5.11679548992
andre,1,834.0,6.72623340236
wooden,1,834.0,6.72623340236
wednesday,1,834.0,6.72623340236
covenanting,1,834.0,6.72623340236
solid,6,139.0,4.93447393313
persisted,1,834.0,6.72623340236
sakartvelo,1,834.0,6.72623340236
differentiates,1,834.0,6.72623340236
succession,8,104.25,4.64679186068
reliable,1,834.0,6.72623340236
croatian,1,834.0,6.72623340236
ornamental,2,417.0,6.0330862218
charter,13,64.1538461538,4.1612840449
sturm,1,834.0,6.72623340236
thrace,3,278.0,5.62762111369
rebuilding,2,417.0,6.0330862218
miller,2,417.0,6.0330862218
holos,1,834.0,6.72623340236
dirigir,1,834.0,6.72623340236
bacon,1,834.0,6.72623340236
empirical,7,119.142857143,4.7803232533
270,1,834.0,6.72623340236
elegant,2,417.0,6.0330862218
272,2,417.0,6.0330862218
273,1,834.0,6.72623340236
charted,1,834.0,6.72623340236
275,2,417.0,6.0330862218
276,3,278.0,5.62762111369
277,1,834.0,6.72623340236
available,14,59.5714285714,4.08717607274
sailed,1,834.0,6.72623340236
bratislavské,1,834.0,6.72623340236
loathing,1,834.0,6.72623340236
tumen,1,834.0,6.72623340236
inanimate,1,834.0,6.72623340236
errors,1,834.0,6.72623340236
relieving,1,834.0,6.72623340236
medically,1,834.0,6.72623340236
thunder,2,417.0,6.0330862218
cooking,2,417.0,6.0330862218
contributed,15,55.6,4.01818320126
schism,1,834.0,6.72623340236
kent,3,278.0,5.62762111369
gujarati,1,834.0,6.72623340236
localized,2,417.0,6.0330862218
fossil,4,208.5,5.33993904124
cars,3,278.0,5.62762111369
increasing,12,69.5,4.24132675257
admiral,2,417.0,6.0330862218
consular,2,417.0,6.0330862218
pioneering,3,278.0,5.62762111369
specialist,1,834.0,6.72623340236
hero,6,139.0,4.93447393313
moksha,1,834.0,6.72623340236
herm,1,834.0,6.72623340236
jarrow,1,834.0,6.72623340236
collette,1,834.0,6.72623340236
formats,2,417.0,6.0330862218
montaña,1,834.0,6.72623340236
atoms,3,278.0,5.62762111369
lgbt,3,278.0,5.62762111369
ching,1,834.0,6.72623340236
china,43,19.3953488372,2.96503328667
cult,5,166.8,5.11679548992
affiliated,7,119.142857143,4.7803232533
browed,1,834.0,6.72623340236
città,1,834.0,6.72623340236
pancreas,2,417.0,6.0330862218
invade,2,417.0,6.0330862218
cyclical,1,834.0,6.72623340236
kids,2,417.0,6.0330862218
km²mfac,1,834.0,6.72623340236
flatlands,1,834.0,6.72623340236
elaborate,6,139.0,4.93447393313
climbed,1,834.0,6.72623340236
reports,7,119.142857143,4.7803232533
controversy,15,55.6,4.01818320126
1212,1,834.0,6.72623340236
ленинграда,1,834.0,6.72623340236
natures,2,417.0,6.0330862218
neurologist,1,834.0,6.72623340236
military,70,11.9142857143,2.47773816031
climber,1,834.0,6.72623340236
gottlob,1,834.0,6.72623340236
curable,1,834.0,6.72623340236
criticism,6,139.0,4.93447393313
golden,15,55.6,4.01818320126
topography,1,834.0,6.72623340236
projection,2,417.0,6.0330862218
classification,12,69.5,4.24132675257
wikimedia,1,834.0,6.72623340236
eugenio,1,834.0,6.72623340236
explained,3,278.0,5.62762111369
norse,6,139.0,4.93447393313
hamas,1,834.0,6.72623340236
psychological,1,834.0,6.72623340236
remnant,1,834.0,6.72623340236
pound,2,417.0,6.0330862218
nightmarish,1,834.0,6.72623340236
p46,1,834.0,6.72623340236
056,1,834.0,6.72623340236
cocaine,3,278.0,5.62762111369
univ,1,834.0,6.72623340236
051,1,834.0,6.72623340236
unit,14,59.5714285714,4.08717607274
opponents,5,166.8,5.11679548992
derivatives,1,834.0,6.72623340236
agassi,1,834.0,6.72623340236
dna,10,83.4,4.42364830936
monocarpic,1,834.0,6.72623340236
browse,1,834.0,6.72623340236
abbreviations,2,417.0,6.0330862218
hungry,1,834.0,6.72623340236
