,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
7,Shepherd_test46,3,10.2303640842,"you, we, my, s, forgiv, sin, christ, pride, me, your, our, said, worship, don, want, think, church, god, t, bless",0.0383705085957,0.0170303460048,1.0,0.0,0.33968015992,0.518835026931,0.0180392999034,0.0158917642006,0.0228712552346,0.0127778374315,0.027810587351,0.00289917319875,0.0122409535059,0.672544624483,0.622144387578,Shepherd,4,4.27440775567,4.02994648576
8,Shepherd_test52,3,8.74491691589,"you, your, we, s, don, my, truth, quak, me, get, god, prais, our, christ, t, deceiv, ill, want, will, know",0.0303147478087,0.0243030206835,0.666666666667,0.333333333333,0.356929804011,0.542809021399,0.0206606457998,0.0192997649388,0.0212792280094,0.00729927007299,0.0202894964741,0.00346406037362,0.01162934554,0.625521179748,0.639737756787,Shepherd,4,4.01109789197,4.05411484065
9,Shepherd_test42,3,8.39819192886,"testimoni, we, s, you, satan, me, leah, get, jesus, blood, she, my, don, god, want, christ, t, your, temptat, sure",0.0280959988528,0.0240619318771,0.666666666667,0.333333333333,0.343531510609,0.49979541755,0.0162716207559,0.0107623318386,0.0188340807175,0.00666239590006,0.0198590647021,0.016399743754,0.0124279308136,0.631689816865,0.578935004282,Shepherd,4,4.4029943497,4.95296126631
10,Shepherd_test7,3,12.1518301964,"we, my, you, trust, me, s, your, preacher, our, get, christ, ill, let, said, go, got, i, faith, preach, god",0.0320830195358,0.0224725800798,1.0,0.0,0.506781608046,0.658620825614,0.0227272727273,0.0131048387097,0.0298753665689,0.0111803519062,0.0211693548387,0.00384897360704,0.0102639296188,0.659007294258,0.571579874927,Shepherd,4,4.01109789197,4.67751819388
21,Shepherd_test51,3,8.14640212059,"you, we, bless, s, christ, woman, jesus, your, dont, prophet, gospel, preach, apostl, evil, me, prayer, our, rejoic, say, god",0.0324567583884,0.0238886338172,1.0,0.0,0.456260417688,0.659687768953,0.0179353778751,0.0132803943045,0.0146495071194,0.00930996714129,0.0235487404162,0.00355969331873,0.00999452354874,0.598189425199,0.54493405273,Shepherd,4,4.01109789197,3.97176609787
22,Shepherd_test37,3,8.25118112564,"we, you, pray, s, ask, evil, your, christ, nt, faith, me, get, sin, whi, know, blameless, don, my, our, judg",0.0366622373021,0.0221606281959,0.666666666667,0.333333333333,0.413406512785,0.654224911046,0.0242539855566,0.0188036517237,0.0207112685652,0.00681291729118,0.0284779942771,0.00899305082436,0.0118544760867,0.640442578421,0.560638848269,Shepherd,4,4.0082497907,3.99192788286
23,Shepherd_test22,3,9.32976102829,"we, you, your, me, don, want, ask, my, s, our, know, god, wrong, sin, t, get, lord, desir, said, prayer",0.0302500170817,0.0284407005616,0.666666666667,0.333333333333,0.454624044919,0.653778363108,0.0262778977682,0.0194384449244,0.0287976961843,0.00827933765299,0.0293976481881,0.00503959683225,0.00959923206144,0.642985796443,0.602064227063,Shepherd,4,4.01109789197,4.28145890281
25,Shepherd_test0,3,8.95619606972,"you, we, thank, don, my, s, your, job, me, t, hope, happi, get, want, thing, love, she, ill, tell, god",0.0425313033522,0.0209538099837,1.0,0.0,0.391871517657,0.602622661303,0.0172217297708,0.0157021653793,0.0258325946562,0.0105103203748,0.0254527035583,0.0117766240344,0.0124097758643,0.642864959687,0.588196126355,Shepherd,4,4.0082497907,3.96660471159
26,Shepherd_test48,3,9.65785908699,"we, you, me, my, your, s, don, love, judg, want, jesus, our, christ, save, ill, ask, trust, go, i, t",0.0295450270625,0.0169629645598,0.666666666667,0.333333333333,0.481191622629,0.62037056165,0.0259048970901,0.0173882185947,0.028034066714,0.00816181689141,0.0220014194464,0.00898982730069,0.0115921457298,0.640821712123,0.581848939139,Shepherd,4,4.0082497907,3.94570850482
27,Shepherd_test11,3,11.3296051025,"we, you, christ, s, sin, don, my, me, t, ask, preacher, save, re, know, your, say, talk, preach, get, church",0.0301646092012,0.0230219542977,0.666666666667,0.333333333333,0.320572140843,0.500890507637,0.0178637541651,0.013698630137,0.0236023694928,0.0195298037764,0.0175860792299,0.00398000740466,0.00897815623843,0.661298999999,0.638130216038,Shepherd,4,3.81338235294,4.00111694262
