,groupId,files,timeRun,keywords,avgSD,avgEVC,rank,rfPred,svmPred
45,Shepherd_test21,10,11.2422959805,"s, trust, christ, say, love, don, get, ask, ill, said",0.574667601388,0.594143255622,4,4.0074754902,3.93035461663
46,Shepherd_test1,10,11.42446208,"s, don, sin, get, ask, want, let, know, god, t",0.615255477443,0.534994896873,4,4.01928104575,4.07374243271
50,Shepherd_test11,10,11.4131400585,"s, don, want, god, ask, get, prayer, t, grace, love",0.597491020452,0.588307353615,4,3.7274754902,3.90704185281
56,Shepherd_test18,10,10.8927261829,"s, pray, don, christ, t, ask, get, want, sin, jesus",0.58986510894,0.534910999204,4,3.91928104575,3.8986967003
59,Shepherd_test7,10,10.4384288788,"sin, s, want, god, get, know, don, worship, christ, said",0.591845153535,0.626192267033,4,4.2137254902,3.92363883029
64,Shepherd_test17,10,10.7144219875,"rememb, s, get, love, christ, want, wisdom, god, sin, jesus",0.632816101278,0.569751991218,4,4.61755952381,4.12279861411
67,Shepherd_test2,10,10.8597588539,"get, s, don, want, christ, ask, ill, know, let, evil",0.635495778403,0.740752854175,4,4.64464285714,4.01581056289
71,Shepherd_test12,10,10.0195379257,"s, get, grace, don, pray, god, ask, want, christ, lord",0.63644588687,0.631388296042,4,4.29614629357,4.02257442163
72,Shepherd_test5,10,11.1661639214,"s, don, t, ask, get, christ, lord, god, ill, said",0.593818531252,0.755288747314,4,3.6,3.9191757027
73,DorothyDay_test8,10,6.75338101387,"worker, labor, farm, talk, room, fr, sunday, get, steel, weav",0.719931236149,0.709164329756,4,3.63631264895,3.91024257222
75,DorothyDay_test13,10,7.35582494736,"worker, too, rememb, get, i, priest, love, told, cuba, retreat",0.769335520516,0.549554142852,4,3.825,3.70721816055
76,DorothyDay_test3,10,8.37094593048,"worker, too, labor, am, fr, talk, i, go, ask, get",0.696728486909,0.657979739073,4,4.58935431362,4.01498491581
88,DorothyDay_test23,10,6.71349811554,"love, worker, get, want, retreat, hospit, say, too, maurin, helen",0.720670683079,0.682604729437,4,4.10204691469,3.92694626024
89,DorothyDay_test16,10,7.16482114792,"worker, get, go, prayer, job, labor, room, am, hospit, strike",0.698443434404,0.771910007291,4,4.04285714286,3.72916290955
90,DorothyDay_test6,10,11.0813410282,"car, worker, love, get, talk, too, farm, go, know, fear",0.730474898296,0.774899677524,4,4.08181818182,3.82022474824
91,DorothyDay_test11,10,6.72606992722,"worker, room, get, go, too, fr, morn, visit, want, night",0.701655674305,0.705539466904,4,2.68326917069,3.98394513966
92,DorothyDay_test1,10,6.439412117,"love, get, poverti, retreat, fr, worker, let, too, farm, dont",0.738262233954,0.640879569756,4,4.07567010309,4.02115248943
93,DorothyDay_test18,10,9.23777413368,"get, worker, picket, hour, strike, talk, night, go, simon, prison",0.710984374067,0.927028688967,4,1.35,1.13279199545
103,DorothyDay_test21,10,8.49465298653,"worker, fr, retreat, get, poverti, room, talk, go, jack, rayna",0.6775108219,0.646765373427,4,5.12067010309,4.07325216738
104,DorothyDay_test14,10,6.53430390358,"worker, too, love, joy, farm, am, say, tri, poverti, fr",0.749888614852,0.786406760605,4,2.78181818182,4.05395211123
105,DorothyDay_test4,10,8.78071212769,"worker, priest, love, get, too, dollar, go, say, fr, babi",0.748545834781,0.750129640595,4,3.57619047619,4.01689026904
116,DorothyDay_test12,10,7.7451839447,"get, love, worker, priest, am, room, persecut, go, tri, too",0.716085764299,0.581459954156,4,4.12096922045,4.02510173052
117,DorothyDay_test2,10,9.34504008293,"ammon, too, get, worker, prison, tri, labor, talk, farm, love",0.776174418417,0.664386714428,4,4.545,4.13478101816
126,DorothyDay_test9,10,12.7359011173,"worker, get, room, talk, hospit, go, night, too, dollar, farm",0.777586574306,0.647904484519,4,6.0,4.20008143638
127,DorothyDay_test10,10,7.83370780945,"labor, worker, love, manual, say, talk, cooper, thing, maurin, let",0.771036745264,0.778471145487,4,4.58181818182,4.4456047758
128,DorothyDay_test0,10,10.9175720215,"worker, get, say, too, christ, talk, room, go, love, told",0.736495251771,0.793662912128,4,3.98181818182,3.74292245083
131,DorothyDay_test22,10,6.86589384079,"worker, get, maurin, farm, peter, go, love, room, say, street",0.704776473086,0.633244247371,4,4.02096922045,4.02489415043
132,DorothyDay_test17,10,11.3974630833,"get, room, too, fr, worker, talk, am, say, go, farm",0.729628383604,0.691575014853,4,5.11900343643,3.90655272821
133,DorothyDay_test7,10,9.96621108055,"get, worker, too, farm, peter, maurin, dolci, hope, talk, i",0.756524994974,0.723018748892,4,4.43106227106,3.97368096166
136,DorothyDay_test19,10,7.06242799759,"worker, too, talk, danvill, room, say, hospit, polic, labor, job",0.73764231035,0.544426529121,4,3.9,3.78553399911
142,DorothyDay_test20,10,7.65553307533,"worker, get, night, woman, too, go, parish, got, job, fr",0.754315193467,0.578137424167,4,5.30067010309,3.88210519394
143,DorothyDay_test15,10,6.40004897118,"get, want, too, go, prison, room, worker, am, pray, tri",0.685974647907,0.711574838306,4,5.87442010309,4.05832730167
144,DorothyDay_test5,10,8.21509408951,"get, too, worker, mike, love, tri, i, maurin, go, say",0.68205607867,0.646606532659,4,5.12067010309,4.06480840021
153,Unitarian_test6,10,14.4102709293,"s, feel, am, nt, i, authent, grief, unitarian, too, say",0.67686708266,0.703018943725,7,5.00400343643,4.09082955857
155,Unitarian_test3,10,12.6888849735,"want, am, cloth, i, bread, tomb, justic, garden, s, love",0.689958898875,0.721450037206,7,5.06394391262,4.03459809467
158,Unitarian_test4,10,15.7921450138,"let, love, know, am, dont, say, rememb, i, want, listen",0.671409830948,0.572373807135,7,6.04567010309,4.31590924147
161,Unitarian_test5,10,16.4425768852,"am, let, say, i, dont, tell, get, thing, ourselv, want",0.654120332124,0.712774731075,7,4.10031296024,4.10718798217
165,Unitarian_test7,10,16.1167330742,"wound, get, know, nt, friendship, am, i, talk, friend, too",0.634044729484,0.532590003631,7,6.44936507937,4.29598596405
167,Unitarian_test0,10,19.2693800926,"nt, love, s, i, magic, want, hope, say, think, am",0.680047570939,0.56784816782,7,5.84,4.32331314048
171,Unitarian_test2,10,15.465405941,"hope, nt, am, feel, compass, i, get, s, ourselv, know",0.632163036906,0.725409045289,7,5.00031296024,4.03033415943
177,Unitarian_test8,10,14.9390640259,"know, get, trust, ask, say, courag, am, i, congreg, feel",0.664094523766,0.533180198565,7,6.04936507937,4.53670008559
178,Unitarian_test1,10,13.2628378868,"feel, nt, am, obstacl, s, i, let, tree, know, love",0.700224333912,0.53043891145,7,4.84368421053,4.31309683447
180,NaumanKhan_test0,10,14.4369990826,"allah, nt, say, know, talk, get, ask, quran, s",0.65061348304,0.645971901616,3,4.1294796269,4.06497963101
182,NaumanKhan_test1,10,18.2230019569,"allah, quran, say, know, get, talk, go, nt, want",0.775466800703,0.624230370705,3,4.445,4.21197003139
186,NaumanKhan_test2,10,14.8786070347,"allah, nt, say, know, quran, talk, get, s, re",0.654954504449,0.579880757067,3,4.1232296269,4.23510049995
190,JohnPiper_test8,10,9.22955608368,"vers, say, god, s, jesus, nt, coven, christ, glori, etern",0.70172330082,0.631756988282,4,3.96792574219,4.03499212908
192,JohnPiper_test15,10,9.05331492424,"god, vers, s, fear, say, love, jesus, let, nt, templ",0.730990477497,0.668101120236,4,5.49935431362,3.95086875306
194,JohnPiper_test4,10,8.13848304749,"grace, god, sin, s, christ, joy, say, vers, elder, anxieti",0.674994639837,0.64831517322,4,5.12067010309,4.07592819011
197,JohnPiper_test13,10,9.29359102249,"glori, vers, christ, grace, god, sin, s, say, nt, spirit",0.789615330906,0.806037390393,4,5.7,4.8658160669
202,JohnPiper_test2,10,8.68375396729,"christ, vers, god, s, etern, say, nt, jesus, let, want",0.740922439705,0.731996016873,4,5.17285714286,3.92560652507
208,JohnPiper_test11,10,8.84491086006,"s, vers, god, abid, say, nt, jesus, fear, will, know",0.694417151249,0.608004302062,4,5.26043200785,4.10620118079
210,JohnPiper_test7,10,8.94259095192,"god, vers, say, s, worship, nt, truth, jesus, want, am",0.699023239555,0.651408853739,4,4.16792574219,4.01468180326
213,JohnPiper_test0,10,9.0246181488,"god, vers, love, s, say, christ, lord, righteous, spirit, nt",0.699227477104,0.778156731084,4,4.84285714286,3.65060671448
214,JohnPiper_test9,10,10.5690350533,"s, vers, god, say, christ, hope, spirit, nt, jesus, grace",0.698181193811,0.599231082915,4,4.06792574219,4.11209147585
215,JohnPiper_test16,10,10.7120919228,"vers, god, christ, say, s, save, husband, let, righteous, coven",0.710096766629,0.737643101654,4,3.74529456051,3.92114080278
218,JohnPiper_test5,10,9.12955713272,"hope, vers, christ, god, s, say, nt, jesus, listen, abid",0.710478461391,0.7318090614,4,4.22862789385,3.92997334866
224,JohnPiper_test14,10,9.25115513802,"merci, vers, gift, god, say, christ, s, spirit, jesus, heal",0.7282703266,0.833736410644,4,3.47555555556,2.80421397295
229,JohnPiper_test3,10,9.43973612785,"vers, god, christ, s, love, fear, nt, hope, weak, job",0.761278327218,0.624827411598,4,3.245,4.13232998003
233,JohnPiper_test12,10,10.0400791168,"hope, god, worship, vers, s, spirit, sin, joy, nt, glori",0.723208698047,0.585711750091,4,4.12096922045,3.9816431922
237,JohnPiper_test1,10,9.14055490494,"god, zion, s, christ, vers, grace, say, nt, let, thing",0.630237796349,0.746854406146,4,4.65714285714,3.98636927284
241,JohnPiper_test17,10,9.27513098717,"vers, god, s, say, gospel, jesus, am, glori, fear, let",0.730190010664,0.790770657072,4,3.68181818182,3.67315929307
243,JohnPiper_test10,10,8.33562994003,"vers, sin, god, nt, s, say, lord, christ, jerusalem, jesus",0.700914457728,0.652234891256,4,3.96792574219,4.00848994863
245,JohnPiper_test6,10,8.17685699463,"vers, god, s, say, abraham, promis, sin, nt, jesus, sheep",0.72540372051,0.781453738832,4,4.18181818182,3.71653068784
246,WBC_test2,10,13.676142931,"shall, unto, prayer, let, s, god, nt, belov, christ, thou",0.725397017957,0.759063324376,1,2.70416666667,3.8622446123
249,WBC_test11,10,10.6065540314,"shall, unto, ye, christ, god, lord, thou, thing, s, say",0.727606921538,0.631295093622,1,4.44096922045,4.00490118538
251,WBC_test3,10,11.512155056,"shall, unto, ye, thou, thi, god, lord, hell, etern, spirit",0.698206573842,0.711603291908,1,3.64993583736,4.00033899444
257,WBC_test6,10,13.0889670849,"shall, unto, christ, ye, god, satan, hath, s, grace, thou",0.746647163812,0.736462362579,1,6.18952380952,3.96172835891
258,WBC_test1,10,11.8537690639,"shall, ye, unto, thi, thou, god, heaven, s, christ, lord",0.755472161115,0.678966792857,1,5.675,3.99390425231
264,WBC_test12,10,11.9465391636,"shall, unto, thou, christ, god, ye, sin, s, lord, hath",0.706578838254,0.720340960299,1,2.83631264895,3.95650431892
265,WBC_test4,10,10.6379749775,"shall, coven, unto, god, s, ye, thou, sermon, heaven, thee",0.706881737666,0.615857791134,1,3.99239779188,4.04469521258
270,WBC_test10,10,15.1432569027,"shall, sin, unto, god, glori, lord, christ, ye, thou, s",0.755857931837,0.834296600211,1,5.12222222222,3.6351103611
273,WBC_test0,10,10.7405030727,"unto, shall, ye, lord, god, s, christ, thou, wit, say",0.73712063739,0.814767122047,1,2.57333333333,3.44249622032
279,WBC_test7,10,11.0808157921,"shall, unto, s, thou, god, spirit, ye, lord, wit, sodomit",0.693782781319,0.682298480066,1,5.96233676976,4.01768602502
281,WBC_test9,10,11.7988009453,"shall, unto, ye, christ, lord, heaven, thou, s, sermon, god",0.735404534997,0.658637067022,1,5.20900343643,3.9807622414
283,WBC_test8,10,15.2592568398,"shall, unto, injuri, god, thou, spirit, ye, christ, lord, s",0.777796379898,0.73001143224,1,5.68,4.12577005711
286,WBC_test5,10,10.2002160549,"shall, unto, ye, s, god, soul, wait, thou, christ, thing",0.741302918935,0.563603428437,1,2.65,3.82184822726
288,PastorAnderson_test5,10,39.8713040352,"s, re, nt, say, get, go, bibl, know, want, preach",0.724805182948,0.717830617274,2,3.00297931562,3.89939485222
294,PastorAnderson_test1,10,38.0166890621,"s, re, say, nt, bibl, get, go, vers, want, don",0.708673511817,0.737432428987,2,3.47862789385,3.92602505817
297,PastorAnderson_test4,10,38.4741539955,"s, re, say, nt, go, get, bibl, let, vers, want",0.698927738771,0.878366040996,2,2.5,1.50982280895
298,PastorAnderson_test3,10,34.9420101643,"s, re, say, nt, go, get, bibl, want, know, vers",0.712408411311,0.830060207,2,2.17222222222,2.64385550838
302,PastorAnderson_test6,10,39.5176680088,"s, re, say, bibl, go, nt, get, vers, shall, know",0.726733243738,0.627102242331,2,4.02096922045,4.00593376721
306,PastorAnderson_test0,10,41.8843951225,"s, re, nt, say, get, bibl, go, know, want, vers",0.731400257923,0.717964027253,2,4.29720856463,3.89464360668
309,PastorAnderson_test2,10,34.6559820175,"s, re, nt, say, get, go, know, bibl, vers, let",0.708540883079,0.653949057135,2,4.12096922045,3.98758636045
312,Rabbinic_test5,10,7.52446985245,"moment, know, rabbi, trial, ourselv, mose, get, let, eichmann",0.737543620572,0.725762707929,6,4.82519391262,3.90682412559
315,Rabbinic_test2,10,8.51669597626,"jew, rabbi, jewish, want, judaism, answer, synagogu, know, am",0.723828972111,0.683362389408,6,2.85204691469,3.92171021346
318,Rabbinic_test0,10,8.0160369873,"moment, rabbi, know, ghetto, mose, tell, hope, rememb, ask",0.714516950986,0.701139003476,6,2.93631264895,3.92918915093
321,Rabbinic_test3,10,7.19147491455,"torah, rabbi, schulwei, know, moment, mose, ask, answer, fear",0.759280090081,0.793938030522,6,5.78181818182,4.2293689313
322,Rabbinic_test4,10,10.1746110916,"rabbi, jewish, know, want, ask, jew, bar, am, cave",0.695268300437,0.843113737598,6,2.92222222222,2.2800282667
325,Rabbinic_test1,10,7.06223607063,"moment, isra, am, israel, rabbi, know, dew, jew, rememb",0.701816056747,0.75029775541,6,3.83225108225,3.90028927662
328,MehrBaba_test1,10,6.93295693398,"baba, s, pure, meher, mind, realiz, feel, ask, want",0.69690839284,0.545620596897,8,4.90368421053,4.29865332955
331,MehrBaba_test3,10,6.63608503342,"baba, jan, master, love, s, discipl, spiritu, feel, shri",0.716236219724,0.830555359768,8,2.27222222222,2.67324385489
334,MehrBaba_test8,10,4.26461100578,"baba, mind, realiz, pure, meher, shri, conscious, love, feel",0.776209900503,0.792646877106,8,4.58181818182,4.59815309021
336,MehrBaba_test4,10,4.06630086899,"baba, love, master, discipl, s, shri, maharaj, spiritu, meher",0.74936345938,0.75778716292,8,2.3375,4.04733426637
340,MehrBaba_test6,10,6.33604311943,"love, baba, woman, s, divin, sex, belov, want, nt",0.731553112116,0.709072793938,8,4.79720856463,3.89336165921
343,MehrBaba_test0,10,8.79166007042,"baba, perfect, sai, infinit, love, s, meher, conscious, spiritu",0.766784426584,0.769325018704,8,2.68181818182,4.32556202739
345,MehrBaba_test5,10,8.82802200317,"baba, master, meher, spiritu, joy, shri, s, perfect, love",0.759206631533,0.888953118,8,4.7,2.46013686469
347,MehrBaba_test2,10,9.25657701492,"baba, meher, s, nt, miracl, love, perfect, conscious, feel",0.728316861873,0.733860672783,8,5.66558441558,3.90071373544
351,MehrBaba_test7,10,6.56001615524,"sanskara, sakhu, baba, conscious, soul, mind, plane, s, desir",0.798681019305,0.696273517664,8,6.5,4.05759761516
