,group,filepath,subgroup
0,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/12.html.txt,test3
1,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/13.html.txt,train65
2,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/142.html.txt,train46
3,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/143.html.txt,train64
4,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/145.html.txt,train41
5,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/146.html.txt,train55
6,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/147.html.txt,test6
7,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/148.html.txt,train29
8,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/149.html.txt,train63
9,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/15.html.txt,train69
10,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/150.html.txt,test19
11,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/151.html.txt,train31
12,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/152.html.txt,train27
13,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/153.html.txt,test3
14,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/154.html.txt,train74
15,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/155.html.txt,train64
16,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/156.html.txt,test4
17,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/158.html.txt,test18
18,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/159.html.txt,train64
19,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/16.html.txt,test10
20,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/160.html.txt,test0
21,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/161.html.txt,test19
22,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/162.html.txt,train73
23,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/164.html.txt,train64
24,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/165.html.txt,test10
25,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/166.html.txt,train61
26,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/167.html.txt,train36
27,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/169.html.txt,train45
28,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/170.html.txt,test23
29,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/171.html.txt,test23
30,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/172.html.txt,test14
31,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/173.html.txt,train65
32,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/174.html.txt,test4
33,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/175.html.txt,train47
34,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/176.html.txt,train29
35,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/177.html.txt,test7
36,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/178.html.txt,train36
37,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/179.html.txt,train57
38,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/180.html.txt,train76
39,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/182.html.txt,test6
40,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/183.html.txt,train41
41,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/184.html.txt,test14
42,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/186.html.txt,train28
43,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/188.html.txt,test3
44,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/189.html.txt,test16
45,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/191.html.txt,train36
46,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/192.html.txt,train69
47,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/193.html.txt,train61
48,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/194.html.txt,train43
49,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/195.html.txt,test9
50,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/196.html.txt,train37
51,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/197.html.txt,test11
52,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/198.html.txt,train37
53,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/199.html.txt,test20
54,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/2.html.txt,test21
55,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/200.html.txt,train30
56,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/201.html.txt,train46
57,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/202.html.txt,test13
58,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/203.html.txt,train53
59,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/204.html.txt,train70
60,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/205.html.txt,test21
61,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/206.html.txt,train25
62,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/207.html.txt,test18
63,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/208.html.txt,test3
64,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/209.html.txt,train47
65,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/210.html.txt,train51
66,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/211.html.txt,train38
67,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/212.html.txt,train46
68,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/213.html.txt,test6
69,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/214.html.txt,train61
70,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/215.html.txt,train33
71,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/216.html.txt,train30
72,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/217.html.txt,train52
73,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/218.html.txt,train36
74,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/219.html.txt,test1
75,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/220.html.txt,test19
76,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/221.html.txt,train74
77,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/222.html.txt,train56
78,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/223.html.txt,train38
79,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/224.html.txt,test21
80,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/225.html.txt,test13
81,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/226.html.txt,train34
82,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/227.html.txt,test9
83,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/228.html.txt,train41
84,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/229.html.txt,train49
85,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/230.html.txt,train33
86,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/231.html.txt,train45
87,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/232.html.txt,test4
88,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/233.html.txt,train39
89,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/234.html.txt,train37
90,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/235.html.txt,train46
91,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/236.html.txt,train45
92,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/237.html.txt,train35
93,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/238.html.txt,test18
94,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/239.html.txt,train65
95,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/240.html.txt,train46
96,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/241.html.txt,train38
97,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/242.html.txt,train43
98,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/243.html.txt,test12
99,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/244.html.txt,test0
100,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/245.html.txt,test22
101,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/246.html.txt,test12
102,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/247.html.txt,test14
103,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/248.html.txt,test5
104,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/249.html.txt,train67
105,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/250.html.txt,train30
106,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/251.html.txt,train71
107,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/252.html.txt,train46
108,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/253.html.txt,train67
109,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/254.html.txt,train42
110,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/256.html.txt,train70
111,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/257.html.txt,train59
112,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/258.html.txt,train59
113,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/260.html.txt,train56
114,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/261.html.txt,train69
115,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/262.html.txt,train66
116,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/263.html.txt,test19
117,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/264.html.txt,train29
118,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/266.html.txt,train57
119,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/267.html.txt,train54
120,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/268.html.txt,train50
121,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/269.html.txt,train26
122,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/270.html.txt,test4
123,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/271.html.txt,train68
124,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/272.html.txt,train48
125,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/274.html.txt,test23
126,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/275.html.txt,train63
127,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/276.html.txt,train45
128,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/277.html.txt,test5
129,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/278.html.txt,train76
130,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/279.html.txt,train34
131,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/280.html.txt,test22
132,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/281.html.txt,train38
133,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/282.html.txt,train60
134,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/283.html.txt,train58
135,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/284.html.txt,train44
136,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/286.html.txt,train63
137,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/287.html.txt,train66
138,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/288.html.txt,train41
139,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/289.html.txt,test23
140,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/290.html.txt,train49
141,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/291.html.txt,train65
142,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/292.html.txt,test9
143,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/293.html.txt,train43
144,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/294.html.txt,train56
145,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/295.html.txt,train49
146,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/296.html.txt,train28
147,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/297.html.txt,train76
148,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/298.html.txt,train31
149,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/299.html.txt,test6
150,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/3.html.txt,train73
151,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/300.html.txt,train39
152,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/301.html.txt,test20
153,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/302.html.txt,test8
154,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/303.html.txt,train60
155,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/304.html.txt,test15
156,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/305.html.txt,train64
157,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/306.html.txt,train28
158,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/307.html.txt,train24
159,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/308.html.txt,train59
160,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/310.html.txt,test20
161,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/311.html.txt,test20
162,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/313.html.txt,test18
163,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/314.html.txt,train29
164,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/315.html.txt,train73
165,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/316.html.txt,train24
166,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/317.html.txt,test16
167,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/318.html.txt,train70
168,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/319.html.txt,train55
169,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/320.html.txt,test2
170,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/321.html.txt,test8
171,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/322.html.txt,train55
172,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/323.html.txt,train32
173,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/324.html.txt,train25
174,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/325.html.txt,test12
175,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/326.html.txt,train61
176,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/327.html.txt,train72
177,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/328.html.txt,train54
178,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/329.html.txt,train60
179,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/330.html.txt,train32
180,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/331.html.txt,test1
181,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/332.html.txt,train52
182,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/333.html.txt,test0
183,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/334.html.txt,train56
184,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/335.html.txt,train24
185,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/336.html.txt,train29
186,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/337.html.txt,train49
187,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/338.html.txt,train62
188,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/339.html.txt,test7
189,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/340.html.txt,train58
190,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/341.html.txt,train76
191,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/342.html.txt,train31
192,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/343.html.txt,test7
193,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/344.html.txt,train30
194,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/345.html.txt,test21
195,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/346.html.txt,train52
196,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/347.html.txt,test21
197,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/348.html.txt,train51
198,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/349.html.txt,test8
199,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/350.html.txt,train60
200,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/351.html.txt,test19
201,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/352.html.txt,train36
202,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/353.html.txt,train55
203,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/354.html.txt,train46
204,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/355.html.txt,test17
205,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/356.html.txt,train24
206,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/357.html.txt,train72
207,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/358.html.txt,test13
208,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/359.html.txt,train39
209,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/360.html.txt,train44
210,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/361.html.txt,train70
211,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/362.html.txt,train42
212,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/363.html.txt,test14
213,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/364.html.txt,train64
214,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/365.html.txt,train72
215,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/366.html.txt,train51
216,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/367.html.txt,train28
217,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/368.html.txt,test1
218,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/369.html.txt,train54
219,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/370.html.txt,train71
220,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/371.html.txt,train41
221,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/372.html.txt,test2
222,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/373.html.txt,train51
