,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,toBeCount,pronounFrac,pronounCount,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,13.7912728786,"s, love, prais, jesus, don, thank, heaven, get, christ, god",0.0362022543579,0.0198928475795,0.9,0.1,17.7,0.0724706359576,163.5,0.617065141407,0.617447295038,0.705687598904,Shepherd,4,4.00982214229,4.08785084135
4,Shepherd_test9,10,12.9044311047,"s, rememb, get, god, christ, judg, grace, ask, don, want",0.0394972670884,0.020278050134,0.8,0.2,14.3,0.0610878588304,154.9,0.6012405257,0.608017901024,0.599651367068,Shepherd,4,6.40287769784,3.9283409182
6,Shepherd_test21,10,13.8849380016,"s, christ, satan, love, don, get, god, devil, want, know",0.0319108742012,0.0217157031174,0.9,0.1,14.8,0.0533445672931,167.8,0.593452192523,0.608087928726,0.569948817813,Shepherd,4,4.00982214229,3.85848305469
7,Shepherd_test0,10,14.4591701031,"s, don, christ, t, ask, said, get, want, ill, humbl",0.0304976477878,0.0238812429658,0.7,0.3,17.7,0.0682774662106,174.5,0.598608684938,0.568976205556,0.495304211561,Shepherd,4,4.00982214229,3.87175412648
10,Shepherd_test10,10,14.1630449295,"s, don, christ, get, want, t, go, say, god, ill",0.0290608898538,0.0192580219794,0.9,0.1,16.6,0.057228561326,170.7,0.581580562643,0.656372470751,0.693439220925,Shepherd,4,4.00982214229,4.50337912215
17,Shepherd_test20,10,13.3718669415,"s, ask, get, don, pray, want, sunday, god, t, ill",0.0369332218569,0.0159535401578,1.0,0.0,14.6,0.0547390969887,163.8,0.586300966006,0.602790157458,0.605567948789,Shepherd,4,4.00982214229,4.14528770516
18,Shepherd_test6,10,13.8021979332,"s, get, ask, don, know, want, t, ill, thing, said",0.0324429346937,0.0213397233252,0.8,0.2,14.9,0.0534000156447,161.1,0.557562336371,0.604607102239,0.58005947126,Shepherd,4,4.00982214229,3.81940707286
22,Shepherd_test16,10,14.216821909,"s, ask, christ, get, don, god, job, ill, want, jesus",0.0313308232302,0.0234871721331,0.7,0.3,19.5,0.0755653090246,157.4,0.56502394621,0.676805778319,0.598564895308,Shepherd,4,4.30982214229,4.01814740838
24,Shepherd_test19,10,13.2126228809,"s, get, want, know, preach, sin, christ, wisdom, god, go",0.0299773072316,0.02145948437,0.7,0.3,14.7,0.0668444862545,144.4,0.615257826526,0.649681679246,0.606338215228,Shepherd,4,4.00982214229,3.99190333532
31,Shepherd_test14,10,13.2104780674,"s, get, don, sin, want, bless, god, ask, lord, t",0.0364034541473,0.0251610511581,0.9,0.1,15.3,0.0550702313869,155.2,0.548872312582,0.631834128738,0.705386613715,Shepherd,4,4.00982214229,3.86142730785
