"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
406,11,432,392,40,419,113,79,293,266
322,459,362,267,200,488,210,536,368,506
215,578,225,466,431,5,244,438,515,334
448,396,514,191,255,50,181,263,451,552
400,477,4,161,193,571,43,130,511,376
399,129,198,203,91,100,523,151,10,53
559,70,206,73,394,143,213,134,141,140
494,18,115,380,25,565,485,437,326,20
65,510,338,410,470,98,574,465,550,30
562,501,189,166,271,428,276,159,474,58
137,294,34,505,517,142,490,173,319,291
520,272,398,576,280,128,342,377,507,365
521,135,532,27,31,207,295,242,444,261
344,364,500,83,407,250,47,462,109,224
174,227,314,226,183,118,363,172,340,7
502,458,378,289,350,328,529,162,36,347
273,384,358,402,170,497,282,403,374,393
460,304,446,330,275,317,106,61,264,413
64,297,427,414,180,553,104,248,80,356
131,185,305,527,152,77,382,366,103,461
71,59,197,478,554,354,243,452,332,503
69,331,13,335,60,281,93,440,146,499
450,449,418,160,386,68,321,491,78,238
341,563,518,231,421,383,327,484,533,258
48,240,63,6,3,318,534,169,379,397
546,72,51,566,270,436,241,8,425,476
133,214,52,417,107,237,405,434,117,126
168,573,33,486,373,286,456,94,95,21
395,522,167,17,110,539,199,489,391,251
236,498,307,443,171,84,274,493,234,323
278,557,430,492,232,23,439,469,558,547
217,351,411,352,423,292,150,144,355,81
454,101,433,310,265,453,535,473,333,19
429,149,204,138,158,385,256,163,361,67
548,122,262,359,175,111,544,298,1,218
254,457,230,336,177,516,74,401,178,290
253,195,182,219,409,259,165,569,208,570
16,277,537,367,555,2,22,194,49,564
86,472,408,284,216,46,123,124,296,9
545,205,201,62,12,372,85,285,422,24
315,442,125,184,375,NA,NA,NA,NA,NA
